Name,Domain,Industry Groups,Description,Employees,Street,City,Country,company_clean,Final Email
All Chicagoland Moving & Storage,allchicagoland.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.98,"All Chicagoland Moving & Storage is a family-owned moving and storage company based in Elmhurst, Illinois. They provide a variety of relocation services including local, interstate, international, corporate, and specialized packing solutions. The company also offers secure storage options with same-day shipping to most major cities in the Midwest, ensuring personalized service tailored to customer needs. Additionally, they have an auto transportation program that allows customers to transport their belongings during the move.",1-10,740 Frontenac Rd,Elmhurst,US,All Chicagoland Moving & Storage,sales@allchicagoland.com
All IT,allitsupported.com,IT_SERVICES:0.94,"All IT is a nationwide IT support company that provides on-site assistance for businesses with multiple locations across North America. Their main services include IT field services, network installation and maintenance, kiosk installation technology rollouts, and digital signage solutions. They offer white-label solutions to simplify IT processes, allowing clients to access skilled technicians quickly through a single call, with over 99% of service resolution times. All IT operates 24/7 and focuses on delivering reliable support tailored to various industries, including healthcare and retail.",11-50,Po Box 1924,Austin,US,All IT,sales@allitsupported.com
Allports International,allportsinternational.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.95,"Allports International is a shipping and packing service that assists customers with international moves to and from Canada. They provide ocean container and air freight solutions, along with a variety of packing services such as crating and storage options. Allports partners with independent local moving companies and accredited global agents to ensure timely responses and reliable pricing for their clients.",1-10,649 Fothergill Blvd,Burlington,CA,Allports International,info@allportsinternational.com
All Relocation Services,allrelocationservices.com,HUMAN_RESOURCES:0.92,"All Relocation Services is a company that specializes in employee relocation for both global and domestic moves. They offer tailored relocation programs, including corporate relocations, domestic relocation, and international transfers, ensuring a smooth transition for companies. Their services include handling everything from temporary housing and transportation to school placement, as well as developing customized relocation policies that align with organizational goals. The team focuses on providing personalized support throughout the moving process and utilizes advanced technology and streamlined processes.",11-50,12425 Chimney Rock Rd,Houston,US,All Relocation Services,info@allrelo.com
"Always Moving, LLC",alwaysmovingphiladelphia.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Always Moving, LLC is a moving company based in Philadelphia, PA, specializing in commercial and residential moving services. They offer a range of services including internal office moves, heavy moving, flexible scheduling, medical equipment delivery, and freight services. With over 20 years of experience, their staff is experienced and insured for all moving-related needs, ensuring safe and efficient handling of belongings.",1-10,267-758-2 Penrose Ferry Road,Philadelphia,US,Always Moving,alwaysmoving@pepsoul.com
Aman Group,amangroup.ca,SUPPLY_CHAIN_AND_PROCUREMENT:0.95,"AMAN is a logistics service provider that specializes in supply chain transportation and warehousing across North America, particularly in the I-5 corridor. They offer a range of services including full truckload, expedited freight, cold storage, cross dock, and intermodal transport. With over 30 years of experience, AMAN focuses on delivering reliable shipping solutions with a 99.5% on-time delivery rate and provides tailored logistical support to meet various business needs. Their fleet includes trucks, trailers, and specialized vehicles designed for handling complex cargo moves efficiently.",11-50,20255-102 Canada,Langley,CA,Aman Group,info@amangroup.ca
American Classic Storage,americanclassicstorage.com,REAL_ESTATE:0.95,"American Classic Storage offers self-storage units across 12 locations in Eastern Virginia. The service provides easy access to ground floor storage, climate-controlled units, and vehicle parking options. Customers can easily find and reserve storage spaces online through a mobile app, which also features a Touchless Rentals feature for convenient checkout. Additionally, the company offers moving and packing supplies to protect goods during storage.",11-50,723 Merrimac Trl,Williamsburg,US,American Classic Storage,info@americanclassicstorage.com
American of Virginia Logistics,americanofvalogistics.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"American of Virginia Logistics is a logistics company that provides relocation, storage, and distribution services for both residential and corporate clients. Established in 1979, the company offers climate-controlled warehouse facilities and has over 40 years of experience in the industry. They are available 24/7 to assist with various moving needs, including corporate relocations, labratory and retail moves, and provide professional storage solutions.",1-10,1522 North Delphine Avenue,Waynesboro,US,American of Virginia Logistics,billchambers@americanofvirginia.com
AmeriMac Appraisal Management,amerimacmanagement.com,REAL_ESTATE:0.94,"AmeriMac Appraisal Management provides appraisal management services for residential, commercial, and real estate lenders across the United States. The company specializes in fast turnaround times, with an average turnaround time of 7.5 days and a 99% client satisfaction rate. AmeriMac employs a network of qualified appraisers and offers services such as alternative valuation, relocation appraisals, and reverse mortgage appraisings, ensuring compliance with state and federal regulations while minimizing appraisal fees. Clients can access appraisal reports through an online portal and receive personalized customer support throughout the appraisal process.",11-50,6525 W Campus Oval,New Albany,US,AmeriMac Appraisal Management,info@amerimacamc.com
AmeriMove,amerimove.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"AmeriMove is a moving and storage service based in Tallahassee, FL, affiliated with Allied Van Lines. They offer a range of services including local and long-distance moving, office relocation, international moving, packing supplies, and portable storage solutions. AmeriMove also provides integrated logistics services such as warehouse storage and transportation, ensuring efficient handling of belongings for both residential and commercial moves. The company emphasizes customer satisfaction and aims to build lasting relationships with its clients through professional moving assistance.",1-10,145 Four Points Way,Tallahassee,US,AmeriMove,info@amerimove.com
AMWAT,amwatmovers.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"AMWAT is a professional moving company based in Tallahassee, FL, offering residential, commercial, and FFE (Fast-Over-The-Dead) storage services. They provide full-time staff for moves of various sizes, including local, long-distance, healthcare, and government sectors. Key features include same-day quote responses, specialized warehousing solutions like FFE inspections and white-glove delivery, and a commitment to efficient and customer satisfaction throughout the moving process.",11-50,319 Ross Road,Tallahassee,US,AMWAT,sales@amwatmovers.com
Anchor Solutions,anchorsolutions.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"Anchor Solutions offers relocation, furniture installation, and logistics services for various industries including healthcare, senior living, commercial moving, and education. Their main functionality includes managing complex installation projects, coordinating storage solutions, and ensuring efficient transportation of facility assets. Key features include personalized consultations to create tailored relocation plans, on-site support, and a focus on minimizing delays and property damage during the installation process.",11-50,,Menomonee Falls,US,Anchor Solutions,info@anchorsolutions.com
"Apex Facility Resources, Inc.",apexfacility.com,BUSINESS_PRODUCTS_AND_SERVICES:0.98,"Apex Facility Resources provides comprehensive facilities management services for workplace growth. Their main functionalities include planning, sourcing, moving, and managing workspace facilities, as well as offering commercial furnishings and asset management. They focus on creating effective plans that adapt to the evolving needs of their clients while ensuring sustainability through a range of integrated products and services tailored to various stages of the workspace lifecycle.",11-50,20219 87Th Ave S,Kent,US,Apex Facility Resources,info@apexfacility.com
A and P Moving,apmoving.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.89,"A and P Moving is a moving company that offers residential, commercial, and warehouse services for both individuals and businesses. They provide local and long-distance moving solutions, including household moves, corporate office relocations, and specialized services like senior moving and specialty storage. The company operates in the North Bay Area of California and has over 30 years of experience in moving logistics and warehousing across various states in the U.S., including Florida, Texas, and Europe. Their team consists of experienced movers who prioritize customer service and quality service throughout the moving process.",1-10,111 Hamilton Drive,Novato,US,A and P Moving,daman@apmoving.com
Archibald Relocation,archibaldrelocation.com,REAL_ESTATE:0.93,"Archibald Relocation is a full-service relocation and real estate company that assists families with the complexities of moving to new locations or countries. Their main services include worldwide relocation, home buying, selling homes, transportation, and property management. They focus on providing personalized support throughout the moving process, ensuring clients receive timely assistance and tailored solutions to their needs.",11-50,4145 Se 192Nd Avenue,Camas,US,Archibald Relocation,info@archibaldrelocation.com
Armstrong Fine Art Services,armstrongfas.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Armstrong Fine Art Services is a Canadian company that specializes in the transportation, packing, and management of fine art collections. They offer tailored logistics solutions for museums, galleries, and private collectors, ensuring secure and climate-controlled storage with biometric access and CCTV systems. Key services include art transportation to various global locations, custom crating solutions, and disaster recovery planning, all supported by over 40 years of industry experience and transparent inventory oversight.",11-50,630 Secretariat Court,Mississauga,CA,Armstrong Fine Art Services,hello@armstrongfas.com
Astra International Moving & Shipping,astrainternational.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Astra International Moving & Shipping is a moving company that provides relocation services for individuals, families, and businesses, specializing in international moves. Their main functionalities include door-to-door moving, customs clearance, storage solutions, and global shipping services. Key features include personalized packing, transportation, customs handling, and warehousing options, catering to both household and commercial needs across various regions worldwide. They also offer specialized services like dock-to.-dock shipping, custom clearance, and inventory tracking.",1-10,,Craig,US,Astra International Moving & Shipping,info@astrainternational.com
Auer's Moving and Rigging Co. Inc.,auersmoving.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.4, BUSINESS_PRODUCTS_AND_SERVICES:0.3","Auer's Moving & Rigging is a company that provides moving and transportation services in New York City. Their main functionality includes transporting large volumes of goods, offering specialized rigging services, and providing storage solutions for various items such as art, furniture, and electronics. Key features include the ability to handle over 100 tons of cargo, crane lifting, and specialized services like packing and storage for exhibitions and events. They also offer flexible scheduling options for their services across multiple locations in the tri-state area.",1-10,890 East 135Th St.,Bronx,US,Auer's Moving and Rigging,lookup@auersmoving.com
Autosled Inc.,autosled.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Autosled is a digital transportation network that connects car dealerships and transporters across the United States. Its main functionality includes efficient vehicle transport through a built-in Bill of Lading (BoL) system, which allows users to easily locate and manage shipments with minimal effort. Key features include 24/7 customer support, quick payment options via ACH within 1-3 business days, and customizable pricing for various types of vehicles, including personal cars and corporate fleets. Autosled also offers fleet tools and reporting capabilities to enhance operational efficiency.",11-50,6010 Executive Blvd,Rockville,US,Autosled,sales@autosled.com
AutoStar Transport Express,autostartransport.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.92,"AutoStar Transport Express is a nationwide vehicle shipping company that provides transportation services for cars, motorcycles, and commercial equipment across all 50 states and territories. Their main functionality includes door-to-door transport, open car transport, long-distance towing, and specialized services for high-value vehicles like luxury and vintage cars. Key features include transparent pricing with no upfront charges, quick delivery times, and a network of over 25,000 licensed carriers, ensuring reliable handling and support for both individual and corporate moves.",11-50,80 Sw 8Th Street,Miami,US,AutoStar Transport Express,customerservice@autostartransport.com
Ave Logistics,avelogistics.ca,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"Ave Logistics offers home delivery and storage services across Ontario and Quebec. Their main functionality includes providing fast and reliable furniture assembly, white glove delivery, and tailored warehousing solutions for businesses and individuals. Key features include real-time tracking of deliveries, 24/7 security, customized storage options, and competitive pricing starting at $50 per month. The company emphasizes customer service and efficiency in handling various types of furniture for homes, offices, and commercial spaces.",1-10,,,CA,Ave Logistics,info@avelogistics.ca
B&R Commerce,bandrcommerce.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"B&R Commerce is a logistics and interior design service specializing in high-end furniture, antiques, and art installation. They offer tailored solutions for both local and international shipping across various states including Washington, Oregon, Nevada, California, and New York. Their services include custom furniture design, warehousing, and dedicated support to meet client needs effectively. B&R also provides tracking systems for shipments and ensures timely delivery through their network of warehouses and online platforms.",1-10,,,US,B&R Commerce,sales@cratedones.com
Bayou Services,bayou-services.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.89,"Bayou Services is a moving and storage company based in Lake Charles, Louisiana. They provide a range of services including residential and commercial moving, transportation, warehousing, and inventory management for businesses of all sizes. Key features include state-of-the-art storage technology, a large fleet of transport vehicles, climate-controlled facilities, and personalized logistics plans tailored to meet individual customer needs.",1-10,2925 Industrial Ave,Lake Charles,US,Bayou Services,info@bayou-services.com
BestVest Investments,bestvest.net,FINANCIAL_SERVICES:0.94,"BestVest Investments is a financial services firm that offers wealth management and investment solutions. Their main functionality includes providing personalized financial planning, retirement planning, and various investment products such as annuities, stocks, bonds, and mutual funds. Key features include calculators for net worth estimation, educational resources on tax-related topics, and access to a community of financial professionals for ongoing support.",11-50,600 North Jackson Street,Media,US,BestVest Investments,sj.morrisroe@lpl.com
Big Red Machinery Movers,bigredmovers.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.85, CONSTRUCTION:0.06","Big Red Machinery Movers is a company based in Milwaukee, WI that specializes in industrial moving and rigging services for equipment and machinery. They offer a variety of specialized services including optical alignment, precision leveling, mobile crane services, and machinery erection. Additionally, they provide indoor and outdoor storage solutions with over 120,000 square feet of temperature-controlled indoor and 3 acres of outdoor storage space. Their fleet includes advanced heavy lifting equipment like the HTS Duo Power Skates, which can handle loads up to 80 tons (80 metric tons) and various dolly configurations tailored to specific moving needs.",11-50,3645 W Elm Street,Milwaukee,US,Big Red Machinery Movers,dale@bigredmovers.com
Biloxi Transfer & Storage Co.,biloxitransfer.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"Biloxi Transportation Systems is a moving company that offers transportation and storage services for individuals, corporations, and industrial equipment. They provide a range of services including packing, shipping, and storage solutions tailored to client needs. The company also features an online store where customers can purchase items directly from the website. Additionally, they offer personalized assistance with moving arrangements and have multiple service locations across Mississippi.",1-10,5921 B-Gulf Tech Dr.,Ocean Springs,US,Biloxi Transfer & Storage,sales@biloxitransfer.com
BizBox,bizboxinc.com,E-COMMERCE:0.88,"BizBox is a service that creates custom branded moving boxes for real estate agents and loan officers. The main purpose of BizBox's products is to enhance client visibility and generate referrals through unique packaging options, including customizable boxes without the need for storage or handling. Key features include free templates, a money-back guarantee, and a variety of colors and styles to choose, all delivered directly to clients' homes within a week.",11-50,7000 Sw Lincoln St,Topeka,US,BizBox,bizbox@bizboxinc.com
Biz Logistics Solutions & Co.,bizlogisticssolutions.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.91,"Biz Logistics Solutions & Co. is a moving and storage service based in New York City, specializing in commercial and office relocations. They offer a range of services including local and long-distance moving, transportation, warehousing, and specialized solutions for trade shows and events. The company provides 24/7 support, flat rates with no hidden fees, and has over 20 years of experience in the industry, ensuring reliable and efficient moving solutions for businesses and individuals.",11-50,30-60 Operating,Long Island City,US,Biz Logistics Solutions &,info@bizlogisticssolutions.com
bluespace Interiors,bluespaceinteriors.com,BUSINESS_PRODUCTS_AND_SERVICES:0.98,"Bluespace Interiors is a design firm that specializes in creating functional and aesthetically pleasing spaces across various industries, including healthcare, education, and corporate environments. The company focuses on human-centered design and purposeful functionality to enhance workplace culture and long-term value for its clients. Key services include tailored solutions for work environments, event planning, and the development of furniture and ancillary solutions, all designed with attention to detail and intentional layouts. Bluespace also offers curated lookbooks and insights into workplace trends to support informed decision-making.",11-50,2840 Ne 95Th Street,Redmond,US,bluespace Interiors,marketing@bluespaceinteriors.com
U.S. Border Movers,bordermovers.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"US Border Movers is an Arizona-based company that specializes in cross-border relocation services between the U.S. and Mexico, offering a white-glove approach for both families and corporate relocations. They coordinate delivery, placement, and transportation of belongings such as furniture and home furnishings, ensuring a seamless moving experience. With over 25 years of experience, US Border Mo Moving manages logistics, customs, and documentation all in-house, focusing on personalized service to meet individual client needs. The company also supports local communities in Mexico by providing essential items like wheelchairs and dog food, and offers free shipping within the continental United States.",1-10,7245 E Gold Dust Ave,Scottsdale,US,U.S. Border Movers,rwalton@bordermovers.com
Boss Group International,bossgi.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.69, FINANCIAL_SERVICES:0.19","Boss Group International is a business brokerage that assists owners and buyers in buying or selling their businesses. They provide personalized guidance throughout the entire process, from valuation to closing deals, ensuring confidentiality and tailored strategies for each client. Key features include access to exclusive business listings across various industries, resources like a podcast with industry insights, and support for both sellers and buyers throughout the transaction process.",11-50,2750 Taylor Avenue,Orlando,US,Boss Group International,hello@bossgi.com
Boxes 4 U,boxes4u.com,RETAIL:0.95,"Boxes 4 U is an online retailer that specializes in a wide range of packaging products, including moving boxes, mailers, shipping boxes, and industrial supplies. The main functionality of the website allows customers to browse and purchase various types of boxes, such as heavy-duty and temperature-controlled options, as well as specialized items like furniture boxes and hazardous materials. Key features include free delivery on orders over $750 within the United States, easy returns with approval for refunds, and a selection of shipping solutions tailored to different industries.",11-50,1401 E Plano Pkwy,Plano,US,Boxes 4 U,orders@boxes4u.com
"Brand Vessel, Inc.",brandvessel.com,"E-COMMERCE:0.42, BUSINESS_PRODUCTS_AND_SERVICES:0.27","Brand Vessel is a company that specializes in branded merchandise and custom apparel. Their main services include global distribution, storage, and packaging, ensuring products arrive safely and on time. They also offer creative decorating for company stores, which are feature-rich and designed to enhance customer engagement. Additionally, Brand Vessel provides kitting and fulfillment kits to improve the overall shopping experience.",11-50,589 Division St.,Campbell,US,Brand Vessel,info@vesselsites.com
BRG Office Movers,brgofficemovers.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.74, SUPPLY_CHAIN_AND_PROCUREMENT:0.15","BRG Office Movers is a full-service office relocation company that specializes in managing complex moves for businesses, including healthcare and hospitality. They offer a range of services such as project management, furniture installation, warehousing, and asset management to ensure smooth transitions. Their team provides customized moving solutions tailored to the specific needs of each client, utilizing specialized equipment and technology to handle sensitive environments effectively. With over 30 years of experience, BRG Office Movers operates nationwide and has expertise in various cities, allowing them to handle diverse relocation needs efficiently.",1-10,2480 Long Lake Rd,Roseville,US,BRG Office Movers,phoenix@brgofficemovers.com
BringPro,bringpro.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.86,"BringPro is a white glove logistics service designed for interior designers to manage the entire furniture delivery process. It offers real-time inventory tracking, online order management, and on-site installation services that ensure timely and professional setup of furniture. Key features include automated scheduling, damage-free inspections, 24/7 access to detailed inventory reports, and photo documentation, all aimed at streamlining the delivery and installation experience for clients in Southern California and South Florida.",11-50,390 Ne 19 1St St,Miami,US,BringPro,support@bringpro.com
Brisson Déménagement,brissondemenagement.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.73, BUSINESS_PRODUCTS_AND_SERVICES:0.17","Brisson Relocation Group is a family-owned company specializing in commercial, industrial, and heavy machinery relocation services. They offer a range of solutions including the transportation of industrial production plants, office furniture, and sensitive facilities, as well as specialized handling of heavy machinery and office relocations. Key features include a needs assessment, packaging, transport, installation, and post-removal follow-up support to ensure smooth transitions for their clients. Established in 1956, Brisson has over 60 years of experience and provides tailored moving services both locally and internationally.",11-50,,Quebec,CA,Brisson Déménagement,info@legroupebrisson.com
Bryan's Machinery Moving,bryansmachinerymoving.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.45, SUPPLY_CHAIN_AND_PROCUREMENT:0.34","Bryan's Moving is a moving company that offers specialized moving services in California and Oregon. They provide comprehensive moving solutions for residential, commercial, and industrial projects, ensuring efficient service through careful planning and attention to detail. Key features include a focus on customer satisfaction, timely project completion, and a commitment to using the latest technology to meet client needs effectively.",1-10,5486 N Industrial Pkwy,San Bernardino,US,Bryan's Machinery Moving,bryan@bryansmachinerymoving.com
Buck's Transport Systems LLC,buckstransport.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Buck's Transport Systems LLC is a family-owned business that provides receiving and delivery services specifically for interior designers. Their main functionality includes white glove delivery of furniture, rugs, lighting, and other items, ensuring safe transportation and installation. They also offer secure storage solutions, as well as support for final mile deliveries in Connecticut and New York. The company emphasizes professionalism and customer service throughout the entire delivery process.",1-10,10 Pine Rd,Hamburg,US,Buck's Transport Systems,info@buckstransport.com
Business Listing Solution,businesslistingsolution.com,ADVERTISING_AND_MARKETING:0.95,"Business Listing Solution is a digital marketing agency that specializes in enhancing online brand visibility. Their main services include listing optimization, website development, social media management, search engine optimization (SEO), and reputation management. The agency focuses on creating tailored strategies to improve clients' unique brand stories and drive organic traffic through effective SEO and content creation. They work with various industries to deliver customized solutions that meet specific needs and industry requirements.",11-50,,Kamloops,CA,Business Listing Solution,customerservice@businesslistingsolution.com
"Cover 6 Logistics, LLC",c6l.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"Cover 6 Logistics, LLC is a Service-Disabled Veteran-Owned Small Business that provides transportation, warehousing, and installation services for government agencies and commercial clients. The company focuses on military-grade logistics practices, ensuring reliable operations with real-time tracking and secure chain of custody for sensitive cargo. Key features include dedicated fleet operations, white-glove delivery, inventory management, and ongoing digital capabilities to enhance operational efficiency. Cover 6 Logistic also offers proactive support and compliance with federal and state regulations.",11-50,,Richmond,US,Cover 6 Logistics,info@c6l.com
California Moving Systems,californiamoving.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"California Moving Systems is a moving company based in Sacramento, CA, offering a range of services including household moving, office moving, international relocation, hospitality logistics, and specialty storage. Their main functionality is to assist clients throughout the move process, from packing and transporting belongings to delivery. Key features include a virtual quote option, automated home surveys, and tailored logistics solutions for various needs, ensuring personalized support and customer satisfaction. The company emphasizes safety and professionalism, supported by a team with over 50 years of experience in the industry.",11-50,3801 Happy Ln,Sacramento,US,California Moving Systems,khorning@californiamoving.com
"CA Office Interiors, Inc",caofficeinteriors.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.41, RETAIL:0.29","CA Office Interiors is a furniture company that specializes in new and pre-owned office furniture, including conference tables, desks, tables, reception cubicles, and other accessories. They provide services such as project management, storage, liquidation, and moving assistance for office spaces. Customers can easily contact them to discuss their office furniture needs, create budget-friendly options, and manage all aspects of the process from furniture moving and installation to logistics like shipping and storage. The company also offers environmental sustainability initiatives aimed at reducing carbon emissions while maintaining high standards of quality and customer service.",11-50,1441 West Central Park Avenue North,Anaheim,US,CA Office Interiors,angel@caofficeinteriors.com
CDM360,cdm360.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.99,"CDM360 is a service provider that offers office response, furniture relocation, and warehousing solutions. Their main functionality includes managing projects, facilitating the installation of office spaces, and providing logistics for corporate events and promotions. Key features include custom event planning, water extraction, dehumidification services, and dedicated storage options to support clients in maintaining their operations effectively.",11-50,10225 Mula Rd,Stafford,US,CDM360,info@cdm360.com
"Central Van Lines, Inc.",centralvl.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"Central Van Lines (CVNI) is a transportation service specializing in international military household goods and un accompanied baggage. They manage the entire relocation process for individuals and families, ensuring timely and professional delivery of goods. Key features include personalized packing, crating, storage, and tracking services to meet customer needs effectively. CVNI also offers resources for government agencies and job seekers related to their relocation services.",1-10,371 Van Ness Way,Torrance,US,Central Van Lines,cvnimm@centralvl.com
