Company,Domain,Group,DL_Headcount,ARR_read,Buyer,ICP_Status,ICP_Reason,D100_Status,D100_Reason
Beti,bilton.tech,HOT,51-200,~$10-20M,VP Ops / Safety & Risk Dir at GC,Qualified,"p1-5 PASS: B2B construction ops/risk SaaS, US-expanding, large contractor TAM",Disqualified,"p7 FAIL: 51-200 emp, ~$26M raised; over D100 size"
Bria,bria.ai,SALES/MKTG,51-200,<$10M,VP Eng / Head of AI or Product,Qualified,"p1-5 PASS: B2B visual-AI platform to enterprises, demo/sales",Disqualified,p9 FAIL: developer/technical buyer (AI API platform)
ChargeAfter,chargeafter.com,SALES/MKTG,51-200,~$20-40M,VP/Head of Merchant Payments or Ecommerce,Qualified,"p1-5 PASS: B2B embedded-lending sold to merchants, demo, large merchant TAM",Disqualified,"p7/p8 FAIL: ~100 emp, $10-100M rev ($60M raised)"
Cherre,cherre.com,NO-COMMERCIAL ICP,51-200,~$20M+,Head of Data / CTO at RE firms (technical),Qualified,"p1-5 pass: B2B real-estate data SaaS, US, enterprise demo",Disqualified,"p8 FAIL: $80M+ raised, ARR >$10M; p9/p10 data-infra buyer risk"
Clinch,clinch.co,NO-COMMERCIAL ICP,51-200,~$13M,VP/Dir Marketing or Performance/Creative,Qualified,"p1-5 PASS: B2B US adtech/creative SaaS, enterprise demo, ~$13M ARR, brand logos",Disqualified,p7 FAIL: 51-200 emp; ARR borderline at cap
Daisy,joindaisy.com,NO-COMMERCIAL ICP,51-200,~$10-30M,Condo/co-op board pres or property mgr,Qualified,"p1-5 PASS: B2B US property-mgmt SaaS/service, demo, Aleph-backed",Disqualified,"p7/p8 FAIL: 51-200 emp, $10-100M rev"
Empathy,empathy.com,HOT,201-500,~$30M+,Head of Benefits / VP Member Experience,Qualified,"p1-5 PASS: B2B to US insurers/employers, enterprise AE motion",Disqualified,"p7/p8 FAIL: 201-500 emp, ~$30M+ ARR, $162M raised"
Eon,eon.io,HOT,51-200,<$20M ARR / $4B val,VP Infra / Head of Cloud / CISO (technical),Qualified,"p1-3 PASS: B2B cloud-backup SaaS, enterprise demo",Disqualified,"p8 FAIL: $4B val, $500M raised; p10 infra; technical IT buyer"
EX.CO,ex.co,HOT,201-500,~$30M,Head of Revenue / VP Monetization (publisher),Qualified,"p1-3 PASS: B2B adtech, video-monetization to publishers via demo",Disqualified,"p7/p8 FAIL: 201-500 emp, $10-100M rev"
Finout,finout.io,NO-COMMERCIAL ICP,51-200,~$15-30M,VP Eng / Platform / FinOps lead (technical),Qualified,"p1-5 PASS: B2B US FinOps SaaS, enterprise demo, $85M raised, named logos",Disqualified,p7/p8 over caps; p9/p10 FAIL: platform/eng buyer + infra value
Guesty,guesty.com,HOT,501-1000,$100M+,"Owner/Op or VP Ops, property-mgmt co",Qualified,"p1-5 PASS: B2B property-mgmt SaaS, US, demo+sales, large STR TAM",Disqualified,"p7/p8 FAIL: 500-1000 emp, $100M+ rev"
Hyro,hyro.ai,NO-COMMERCIAL ICP,51-200,~$15-30M,VP Patient Access / Digital / Contact Center,Qualified,"p1-5 PASS: B2B US healthcare conversational-AI SaaS, enterprise demo, $95M raised",Disqualified,"p7/p8 FAIL: 51-200 emp, $10-100M rev"
Innovid,innovid.com,SALES/MKTG,501-1000,$100M+,VP/Dir Advertising or Media (brand/agency),Qualified,"p1-3 PASS: B2B US adtech, enterprise demo, high LTV",Disqualified,"p7/p8 FAIL: 501-1000 emp, $100M-1B (Mediaocean)"
Jedify,jedify.com,HOT,11-50,<$5M,Head of Data / CDO (technical),Qualified,"p1-5 pass: B2B AI data-context SaaS, AE/BDR motion, $33M funded",Disqualified,p9 FAIL: data/AI engineering buyer (CDO); p10 infra/counterfactual
Nilus,nilus.com,HOT,51-200,<$10M,CFO / Treasurer / Head of Finance,Qualified,"p1-5 PASS: B2B treasury/FP&A SaaS, demo, named logos",Disqualified,"p7 FAIL: DL 51-200 emp exceeds 50; Israeli, finance buyer otherwise fits"
Nimble,nimbleway.com,HOT,51-200,~$10-20M,Head of Data Engineering (technical),Qualified,"p1-5 pass: B2B web-data API, enterprise AE motion, $75M funded",Disqualified,p9 FAIL: data-engineering/technical buyer; p8 likely >$10M; p10 infra
Obligo,myobligo.com,NO-COMMERCIAL ICP,51-200,~$15M+,VP/Dir Operations at property-mgmt firms,Qualified,"p1-5 pass: B2B proptech/fintech, US, property-manager buyer, demo",Disqualified,"p8 FAIL: $90M+ raised, mature; p7 51-200; some B2C exposure"
OpenWeb,openweb.com,NO-COMMERCIAL ICP,201-500,$100M+,Head of Audience / Revenue / Monetization,Qualified,"p1-5 pass: B2B US publisher market, enterprise demo, ad/audience-ops buyer",Disqualified,"p7/p8 FAIL: 201-500 emp, ~$100M ARR, $1.5B val"
Outbrain,outbrain.com,HOT,201-500,$900M+,VP/Dir Performance Marketing / Media Buying,Qualified,"p1-3 PASS: B2B ad platform, US, demo/sales motion, huge advertiser TAM",Disqualified,"p7/p8 FAIL: public, 1000+ emp, ~$900M rev (merged Teads)"
Pagaya Investments,pagaya.com,SALES/MKTG,201-500,$200M+,Head of Partnerships / Chief Credit Officer,Qualified,p1-3 PASS: B2B AI-lending network to lenders/banks via partnerships/demo,Disqualified,"p7/p8 FAIL: public, 201-500 emp, $100M+; warm/partnership motion"
Papaya Global,papayaglobal.com,SALES/MKTG,501-1000,$100M+,VP HR / Head of People Ops / CFO,Qualified,"p1-5 PASS: B2B global-payroll SaaS, enterprise demo, HR/finance buyer",Disqualified,"p7/p8 FAIL: 501-1000 emp, $100M-1B rev"
Personetics,personetics.com,HOT,201-500,~$30-50M,Head of Digital Banking / CDO at bank,Qualified,"p1-3 PASS: B2B SaaS to banks via enterprise demo, high LTV",Disqualified,"p7/p8 FAIL: 201-500 emp, $10-100M rev; technical digital-banking buyer"
PointFive,pointfive.co,SALES/MKTG,51-200,~$15-30M,VP Eng / Head of FinOps / Platform,Qualified,"p1-5 PASS: B2B cloud-cost/FinOps SaaS, enterprise demo, defensible TAM",Disqualified,"p7/p8 FAIL: 100+ emp, $10-100M; p9 platform/FinOps engineering buyer"
SimilarWeb,similarweb.com,SALES/MKTG,1001-5000,$100M+,VP/Head of Marketing or Insights,Qualified,"p1-5 PASS: B2B digital-intelligence/analytics SaaS, demo, large TAM",Disqualified,"p7/p8 FAIL: 1000-5000 emp, $100M-1B (public)"
Sisense,sisense.com,HOT,501-1000,$100M+,VP Data / Head of Analytics (technical),Qualified,"p1-3 PASS: B2B analytics SaaS, enterprise demo, high LTV",Disqualified,"p7/p8 FAIL: 501-1000 emp, $100M-1B rev; technical buyer"
Taboola,taboola.com,SALES/MKTG,1001-5000,$100M+,VP/Head of Performance Marketing,Qualified,"p1-5 PASS: B2B native-advertising, enterprise demo, huge advertiser TAM",Disqualified,"p7/p8 FAIL: 1000-5000 emp, $100M-1B rev"
TailorMed - Medical Journey Innovations,tailormed.co,NO-COMMERCIAL ICP,51-200,~$15-30M,VP Revenue Cycle / Patient Financial Svcs,Qualified,"p1-5 PASS: B2B US healthcare affordability SaaS to providers/pharmacies, demo, $101M raised",Disqualified,p8 FAIL & p7 borderline: $101M raised / 51-200 band over caps
Unit,unit.co,HOT,201-500,$50M+,CTO / Head of Product (technical),Qualified,"p1-3 PASS: B2B embedded-finance API, enterprise motion, high LTV",Disqualified,p7/p8 FAIL: unicorn; p9 technical (CTO/product)
UVeye,uveye.com,SALES/MKTG,201-500,~$100M,Dealership/fleet ops or fixed-ops dir,Qualified,"p1-5 PASS: B2B US, dealership/OEM demo motion, strong logos/funding",Disqualified,"p7/p8 FAIL: 201-500 emp, ~$100M ARR target, $380M raised"
VAST Data,vastdata.com,SALES/MKTG,1001-5000,$200M+,CTO / VP Infra / Head of AI Platform,Qualified,"p1-3 PASS: B2B data/AI infra, enterprise motion, high LTV",Disqualified,"p7/p8 FAIL: 1001-5000 emp, $100M-1B; p10 infra; technical buyer"
venn,venn.city,SALES/MKTG,51-200,$20M+,VP/Dir Ops or Resident Experience,Qualified,"p1-5 PASS: B2B proptech for property managers, demo/enterprise",Disqualified,"p7/p8 FAIL: ~100 emp, $140M raised, ARR >$10M"
Voyantis,voyantis.ai,NO-COMMERCIAL ICP,51-200,~$30M+,VP/Head of Growth or Performance Marketing,Qualified,"p1-3 pass: B2B SaaS, US, demo/enterprise, growth-marketing buyer",Disqualified,"p8 FAIL: $60M raised, ARR tripling, >$10M; p7 51-200"
WSC Sports,wsc-sports.com,NO-COMMERCIAL ICP,501-1000,$50M+,Head of Digital / Content (league/broadcaster),Qualified,"p1-5 PASS: B2B sports-media SaaS to leagues/broadcasters, enterprise demo, 200+ logos",Disqualified,"p7/p8 FAIL: ~700 emp, $100M+ rev"
Yotpo,yotpo.com,SALES/MKTG,501-1000,$100M+,VP/Dir Ecommerce or Retention Marketing,Qualified,"p1-5 PASS: B2B ecommerce marketing SaaS, demo+sales",Disqualified,"p7/p8 FAIL: 501-1000 emp, $100M-1B rev"
Melio,meliopayments.com,HOT,501-1000,$100M-1B,Finance/AP owner or SMB owner (non-technical),Needs Review,p3 borderline: B2B AP/AR but SMB self-serve PLG onramp,Disqualified,"501-1000 emp, $100M-1B rev far beyond D100"
Sedric.ai,sedric.ai,HOT,51-200,<$10M,Chief Compliance Officer / Head of Compliance,Needs Review,"p2 PASS-low: compliance-governance for regulated finance, borders warm/RFP",Disqualified,"p10 FAIL: compliance risk-avoidance (counterfactual), risk-officer buyer"
Zencity,zencity.io,SALES/MKTG,51-200,~$10M,City/County comms or engagement director,Needs Review,"p2 caution: buyer is local government (B2G), motion leans procurement/RFP",Disqualified,p7 FAIL: ~104 emp; p8 borderline; gov buyer
A.Team,a.team,SALES/MKTG,201-500,~$30M,VP Eng / Head of Product (tech hiring),Disqualified,p2 FAIL: tech-talent/staffing marketplace (IT services/placement),Disqualified,"ICP fails; 201-500 emp, $60M+ raised"
Artemis,goartemis.ai,SALES/MKTG,51-200,<$10M,CISO / SecOps lead,Disqualified,p2 FAIL-high: AI-native security/threat-intel,Disqualified,ICP DQ; security
At-Bay,at-bay.com,NO-COMMERCIAL ICP,201-500,$50M+,Insurance broker / risk manager,Disqualified,p2 FAIL-high: cyber insurance/security category,Disqualified,ICP fails; 201-500 emp
Base44,base44.com,HOT,1-10,$100M+ (Wix),Self-serve prosumer/SMB (no sales motion),Disqualified,"p1/p3 FAIL: AI app-builder, B2C/prosumer self-serve PLG; now a Wix product",Disqualified,"Wix-owned, $100M+ ARR, self-serve, no demo motion"
Blockaid,blockaid.io,SALES/MKTG,51-200,$10-30M,CISO / Head of Security (crypto),Disqualified,p2 FAIL-high: web3/blockchain security,Disqualified,ICP DQ; security
CHEQ,cheq.ai,HOT,201-500,~$30-50M,Security / technical marketing-ops,Disqualified,p2 FAIL-high: cybersecurity (go-to-market security / click-fraud),Disqualified,"ICP DQ; technical/security buyer, counterfactual value"
Claroty,claroty.com,SALES/MKTG,501-1000,$100M+,CISO / VP OT Security (technical),Disqualified,p2 FAIL-high: cyber-physical systems security,Disqualified,"ICP DQ p2; large, technical/security buyer"
Cyabra,cyabra.com,NO-COMMERCIAL ICP,51-200,<$10M,Head of Comms / Brand Security / T&S,Disqualified,"p2 FAIL: disinformation/trust-intelligence (private intelligence), warm/gov channels",Disqualified,ICP fails; p10 counterfactual prevention value
Cyera,cyera.com,SALES/MKTG,1001-5000,$100M+,CISO,Disqualified,p2 FAIL-high: cybersecurity/data-security platform,Disqualified,ICP DQ; security
Fireblocks,fireblocks.com,HOT,501-1000,$100M+,Head of Digital Assets / CISO,Disqualified,p2 FAIL-high: digital-asset security/custody infra,Disqualified,"ICP DQ; $100M+ rev, 500-1000 emp, technical infra buyer"
Forter,forter.com,HOT,501-1000,$100M-1B,VP Risk / Head of Fraud (risk-technical),Disqualified,"p2 FAIL: fraud-management/identity-trust, security-adjacent",Disqualified,"ICP fails; 501-1000 emp, $100M-1B rev"
Honeycomb Insurance,honeycombinsurance.com,SALES/MKTG,51-200,$30M+ (premium),Property mgr / HOA board (policyholder),Disqualified,"p3 FAIL: insurance carrier selling policies (B2C), not demo-motion SaaS",Disqualified,"ICP fails; p7 51-200, carrier economics"
K Health,khealth.com,SALES/MKTG,201-500,$30M+,CMO / health-system clinical partnerships,Disqualified,p3 FAIL: core is consumer telemedicine app (B2C); health-system deals clinical,Disqualified,"ICP fails; 201-500 emp, $439M raised, clinical buyer"
Lema Ai,lema.ai,SALES/MKTG,11-50,<$10M,Head of TPRM / Security (technical),Disqualified,p2 FAIL-high: third-party cyber risk / security,Disqualified,"ICP DQ p2; technical TPRM buyer, infra-trust value"
Lemonade,lemonade.com,HOT,1001-5000,$500M+,N/A consumer,Disqualified,p1 FAIL: consumer insurance (B2C),Disqualified,"ICP fails p1; public, 1001-5000 emp"
Miggo Security,miggo.io,SALES/MKTG,11-50,<$10M,CISO / AppSec lead (technical),Disqualified,p2 FAIL-high: application detection & response (ADR),Disqualified,ICP DQ p2; technical security buyer
Noma Security,noma.security,NO-COMMERCIAL ICP,51-200,<$10M,CISO / Head of AI Security (technical),Disqualified,p2 FAIL-high: AI/cybersecurity category,Disqualified,"ICP fails; technical CISO buyer, prevention value"
Oasis Security,oasis.security,HOT,51-200,<$10M,CISO / Head of Identity Security,Disqualified,p2 FAIL-high: pure cybersecurity (non-human identity),Disqualified,"ICP fails; CISO buyer, counterfactual value"
Ocean,ocean.security,SALES/MKTG,501-1000,<$10M,CISO,Disqualified,p2 FAIL-high: email security platform,Disqualified,ICP DQ; security
Oligo Security,oligo.security,SALES/MKTG,11-50,<$10M,CISO / Head of Application Security,Disqualified,p2 FAIL-high: runtime application security,Disqualified,ICP DQ; CISO/AppSec buyer
OX Security,ox.security,NO-COMMERCIAL ICP,201-500,~$10-20M,CISO / Head of AppSec (technical),Disqualified,p2 FAIL-high: cybersecurity (AppSec/supply-chain),Disqualified,ICP DQ p2; technical CISO/AppSec buyer
Payoneer,payoneer.com,HOT,1001-5000,$800M+,Finance/Treasury (mostly self-serve),Disqualified,"p3 FAIL: core is self-serve cross-border payments, not demo-call LTV",Disqualified,"p7/p8 FAIL: public, 1000-5000 emp, $800M+ rev"
Prime Security,primesec.ai,SALES/MKTG,11-50,<$10M,CISO / Head of Product Security,Disqualified,p2 FAIL-high: product-security/AppSec automation,Disqualified,ICP DQ; security
Qodo,,,,~$5-15M,VP Eng / Head of Dev Experience (technical),Disqualified,"p2/p3 FAIL: dev-tools/code platform, PLG + technical eval, self-serve checkout",Disqualified,ICP fails; p9 developer/eng buyer; over caps
Rein Security,reinsec.io,SALES/MKTG,11-50,<$10M,CISO / AI Security lead (technical),Disqualified,p2 FAIL-high: agentic AI security,Disqualified,ICP DQ p2; technical security buyer
Riskified,riskified.com,HOT,501-1000,$100M-1B,VP Risk / Head of Fraud (risk-technical),Disqualified,"p2 FAIL: fraud-prevention/risk platform, security-adjacent warned niche",Disqualified,"ICP fails; 500-1000 emp, $100M-1B rev far beyond D100"
Semperis,semperis.com,HOT,501-1000,$100M+,CISO / VP Security,Disqualified,p2 FAIL-high: cybersecurity (AD identity resilience),Disqualified,"ICP DQ; large, CISO buyer, security counterfactual"
SentinelOne,sentinelone.com,SALES/MKTG,1001-5000,$100M+,CISO / VP Security Operations,Disqualified,p2 FAIL-high: cybersecurity,Disqualified,"ICP DQ; public, $100M+ ARR, CISO buyer"
Tavily,tavily.com,NO-COMMERCIAL ICP,11-50,<$10M,Developer / AI Engineer (technical),Disqualified,"p3/p9 FAIL: self-serve developer API (usage-based, technical buyer); acquired by Nebius Feb 2026",Disqualified,"ICP fails; developer/AI-engineer buyer, infra value"
Team8,team8.vc,SALES/MKTG,201-500,N/A,N/A (VC fund),Disqualified,"p2 FAIL: VC firm + cyber focus, relationship/warm-intro driven",Disqualified,ICP fails p2; no demo-call SaaS motion
trustmi-ai,trustmi.ai,NO-COMMERCIAL ICP,11-50,<$10M,CISO / VP Finance-Security (technical),Disqualified,p2 FAIL-high: cybersecurity (payment-fraud/cyber prevention),Disqualified,ICP DQ p2; technical buyer
Tulu,tulu.io,SALES/MKTG,51-200,~$10-30M,Property/asset manager (non-technical),Disqualified,"p3 FAIL: product is a B2C resident amenity, not enterprise demo SaaS",Disqualified,ICP fails; p10 amenity-access not dollar-stated value
Varonis,varonis.com,SALES/MKTG,1001-5000,$100M+,CISO / VP Data Security,Disqualified,p2 FAIL: data security platform / cybersecurity,Disqualified,"ICP DQ; public, $100M+ ARR, CISO buyer"
Via,ridewithvia.com,HOT,1001-5000,$100M-1B,City/Transit Authority (govt procurement),Disqualified,"p2 FAIL: primary motion B2G (cities, transit authorities) via RFP",Disqualified,"ICP fails; 1001-5000 emp, $100M-1B rev"
Wix,wix.com,HOT,5001-10000,> $1B,Self-serve SMB owner,Disqualified,"p1/p3 FAIL: mass-market B2C/SMB self-serve, no demo motion",Disqualified,"5001-10000 emp, >$1B rev, public, self-serve"
Wiz,wiz.io,SALES/MKTG,1001-5000,$100M+,CISO / VP Security (technical),Disqualified,p2 FAIL-high: cloud security (auto-fail cyber),Disqualified,"ICP DQ p2; enterprise-scale, CISO buyer"
Zafran Security,zafran.io,SALES/MKTG,51-200,<$10M,CISO / VP Security,Disqualified,p2 FAIL-high: cybersecurity,Disqualified,ICP DQ; CISO buyer
zenity,zenity.io,HOT,201-500,~$10-20M,CISO / Head of Security,Disqualified,p2 FAIL-high: cybersecurity (AI-agent security/governance),Disqualified,"ICP DQ; CISO buyer, security-governance counterfactual"
