email,domain,Company,Industry Groups,Business Model,Revenue Range,Employees,City,State,Country,Description,Score,Public Emails
support@sylmarmovers.com,sylmarmovers.com,Sylmar Movers,CONSUMER_SERVICES:0.99,"B2B:0.95, B2C:0.93",1-10M,11-50,Sylmar,CA,US,"Sylmar Movers is a moving company that offers local and long-distance moves, as well as office relocations. Their services include furniture assembly, appliance delivery, packing services, and transportation for both residential and commercial clients. The company emphasizes quality service with no hidden charges, employs trained crews, and provides competitive pricing options such as off-peak rates and free moving supplies. They also offer specialized moving solutions like dry cleaning and storage assistance to ensure a smooth moving experience.",132,support@sylmarmovers.com
teamecms@ecmoving.com,ecmoving.com,EC Moving & Storage,CONSUMER_SERVICES:0.96,"B2B:0.97, B2C:0.69, B2G:0.76",1-10M,1-10,Eau Claire,WI,US,"EC Moving & Storage is a moving and logistics service based in Eau Claire, WI, offering a range of services for residential, commercial, and corporate relocations. Their main functionalities include local and international moving, packing, storage solutions, and specialized services like senior living relocation. They provide free estimates, manage inventory through 3rd-party logistics (3PL) and ensure compliance with federal regulations, while also offering climate-controlled storage options tailored to customer needs.",119,teamecms@ecmoving.com
help@pinkzebramoving.com,pinkzebramoving.com,Pink Zebra Moving,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.91",1-10M,11-50,Birmingham,AL,US,"Pink Zebra Moving is a moving company that offers a variety of services for residential and commercial relocations. Their main functionalities include apartment, condo, townhome, business, and specialized moving services such as packing, loading, labor, and disaster response. The company provides online quotes, professional packing services, and pickup and delivery options to ensure a smooth relocation experience for customers. They focus on customer service throughout the moving process and aim to create memorable experiences for all their clients.",224,help@pinkzebramoving.com
info@athmovers.com,athmovers.com,Around The House Movers,CONSUMER_SERVICES:0.99,"B2B:0.52, B2C:0.95",1-10M,1-10,Irvine,CA,US,"around the House Movers is a moving and storage company based in Orange County, California, specializing in local and long-distance moves. They offer full and partial packing services, transportation, and storage solutions for both residential and commercial clients. The company provides assistance with furniture transport, storage, and other moving needs, ensuring efficient handling of items like furniture and household appliances. Their trained movers focus on customer service and quality workmanship, making it suitable for various moving types including next-day, one-time, or recurring moves.",106,info@athmovers.com
info@stresslessmoves.com,stresslessmoves.com,,,,,,,,,,,
budgetservices@sbcglobal.net,sbcglobal.net,,,,,,,,,,,
info@rockstarpromovers.com,rockstarpromovers.com,Rockstar Pro Movers,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.86, B2G:0.84",1-10M,1-10,San Francisco,CA,US,"Rockstar Pro Movers is a licensed and insured moving company that offers a variety of relocation services for residential, commercial, and long-distance moves across California. Their main functionality includes packing, unpacking, and transporting items such as furniture, pianos, and art. Key features include professional movers with background-checked staff, transparent pricing with no hidden fees, and a commitment to customer satisfaction through multiple communication channels like phone, email, and live chat. They also provide specialized services like junk removal and secure storage options.",117,info@rockstarpromovers.com
info@homeagaintransitions.com,homeagaintransitions.com,Home Again Transitions,CONSUMER_SERVICES:1.0,B2C:0.93,1-10M,1-10,Avon Lake,OH,US,"Home Again Transitions is a moving service that specializes in assisting families with various transitions, particularly for seniors and their families. The company offers services such as packing, unpacking, sorting, and resettling belongings, all managed by certified move managers who focus on creating a stress-free experience. They also provide storage solutions and free estimates to help clients manage their moving needs effectively.",306,info@homeagaintransitions.com
sales@gallomoving.com,gallomoving.com,"Gallo Moving & Storage, LLC",CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.97",1-10M,11-50,Milford,MA,US,"Gallo Moving & Storage is a local moving company in Massachusetts that offers residential, commercial, and long-distance relocation services. Their main functionality includes providing free estimates, packing assistance, and secure storage solutions for items like furniture and appliances. Key features include a mobile app for real estate agents to assist with moves, trained movers, and transparent pricing by ensuring the final cost meets customer needs. Gallo also emphasizes customer satisfaction through personalized service and effective communication throughout the move process.",94,sales@gallomoving.com
contact@bbmoving.com,bbmoving.com,,,,,,,,,,,
info@economymoversri.net,economymoversri.net,Economy Movers & Storage,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.96",1-10M,1-10,Cranston,RI,US,"Economy Movers & Storage is a moving company based in Rhode Island that provides residential and commercial relocation services. They offer a range of moving solutions including interstate moves, furniture move assistance, and specialized moving for pianos and other items. The company emphasizes personalized service, efficient packing, and customer satisfaction, ensuring that all belongings are handled with care and professionalism. Established in 1976, they serve clients across Rhode Island, Massachusetts, and Connecticut.",95,info@economymoversri.net
info@packmanmobilestorage.com,packmanmobilestorage.com,Packman Mobile Storage,"CONSUMER_SERVICES:0.93, BUSINESS_PRODUCTS_AND_SERVICES:0.06","B2B:0.9, B2C:0.97",1-10M,1-10,Apex,NC,US,"Packman Mobile Storage offers portable storage and moving services in Raleigh–Durham, with options for both on-site and off-site storage. Customers can choose to store items at their own pace or have them delivered directly to their homes or job sites, allowing them to pack and unload the containers as needed. The service includes a variety of sizes, from small apartments to large houses, and provides flexible storage solutions for home renovations, business needs, and relocation tasks. Packman also emphasizes customer satisfaction through personalized support and quick delivery times.",124,info@packmanmobilestorage.com
info@a-1movers.com,a-1movers.com,A-1 Home & Piano Moving,CONSUMER_SERVICES:1.0,B2C:0.96,1-10M,1-10,Bellevue,WA,US,"A-1 Home & Piano Moving provides moving services for homes and pianos in the Seattle area, including Bellevue, Seattle, Tacoma, and surrounding areas. Their main functionality includes packing, unpacking, and organizing belongings to ensure a smooth relocation process. A-1 offers free in-home estimates, professional packing teams, and a selection of moving supplies tailored to client needs. They also provide specialized solutions for piano moves and have over 40 years of experience in the industry.",86,info@a-1movers.com
info@yourmoveottawa.com,yourmoveottawa.com,YourMove Ottawa,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.94",<1M,1-10,Ottawa,ON,CA,"YourMove Ottawa is a moving company that offers residential and commercial moving services in Ottawa and Gatineau. They provide a range of moving solutions including local, long-distance, last-minute, packing, junk removal, and waste disposal. The team assists clients throughout the moving process, ensuring safe and efficient handling of valuables, as well as offering specialized services for pets and furniture relocation. Additionally, they sell moving supplies and provide contract logistics to support various moving needs.",97,info@yourmoveottawa.com
info@lippincottvanlines.com,lippincottvanlines.com,Lippincott Van Lines,"CONSUMER_SERVICES:0.69, SUPPLY_CHAIN_AND_PROCUREMENT:0.3","B2B:0.93, B2C:0.93",1-10M,11-50,North Haven,CT,US,"Lippincott Van Lines is a moving company based in Connecticut that offers a range of relocation services for both local and international moves. Their main functionalities include local moving, long-distance moving, corporate moving, furniture moving, packing services, and storage solutions. They provide free estimates, work closely with clients to create personalized move plans, manage the logistics, and ensure secure transportation of belongings. The company has over 50 years of experience in the moving industry and focuses on delivering efficient and professional service throughout the relocation process.",39,info@lippincottvanlines.com
info@supermovers.net,supermovers.net,Super Movers,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.91",1-10M,11-50,Ruston,LA,US,"Super Movers is a family-owned moving company based in North Louisiana that offers a variety of moving services for residential, commercial, and long-distance moves. Their main functionality includes providing custom move packages, packing supplies, and storage solutions tailored to different needs such as studio apartments, offices, and furniture relocations. Key features include free packing kits, competitive pricing with no hidden fees, and experienced movers who prioritize customer satisfaction throughout the moving process.",73,info@supermovers.net
info@wemovecoaches.com,wemovecoaches.com,"We Move Coaches, LLC","SUPPLY_CHAIN_AND_PROCUREMENT:0.71, CONSUMER_SERVICES:0.29","B2B:0.67, B2C:0.74",1-10M,1-10,Tallahassee,FL,US,"We Move Coaches, LLC is a moving service specifically for coaches and athletic personnel. The company provides comprehensive relocation support, including transportation, logistics, and personalized coaching to help coaches navigate the complexities of their new programs. Their team consists of licensed former coaches and military personnel who have extensive experience in managing moves across various countries, ensuring a smooth transition for coaches looking to manage their career while they focus on their core activities.",30,info@wemovecoaches.com
info@greenwoodvillagecomovers.com,greenwoodvillagecomovers.com,Greenwood Village Moving Pros,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.93",1-10M,1-10,Greenwood Village,CO,US,"Greenwood Village Moving Pros is a professional moving service based in Greenwood Village, CO, offering a range of relocation solutions for both residential and commercial clients. Their main functionalities include packing, safe transport, and secure storage options tailored to individual needs. Key features include a 24-hour turnaround service, customizable moving packages, and the use of premium materials and specialized equipment to ensure careful care of belongings. The company emphasizes customer satisfaction and provides expert guidance throughout the moving process.",25,info@greenwoodvillagecomovers.com
info@jdsmoving.com,jdsmoving.com,JDS Moving & Junk Removal,CONSUMER_SERVICES:0.94,"B2B:0.99, B2C:0.98",1-10M,1-10,Vancouver,BC,CA,"JDS Moving is a moving company based in Vancouver that provides professional relocation services for both residential and commercial clients. Their main offerings include residential moving, demolition, junk removal, appliance installation, and furniture installation. Key features of their service include same-day quotes, complimentary packing materials, and a commitment to eco-friendly practices with no hidden fees. They also offer specialized moves like the HVAC system for efficient home staging and maintenance.",59,info@jdsmoving.com
info@chasmovers.com,chasmovers.com,Chas Movers,CONSUMER_SERVICES:0.99,"B2B:0.94, B2C:0.98",1-10M,1-10,Canoga Park,CA,US,"Chas Movers is a moving company that offers a variety of relocation services for both residential and commercial clients in the Greater Los Angeles area. Their main functionalities include local residential moves, long-distance moves, labor only moves, heavy item moves, furniture lifting, and senior moving assistance. Key features include personalized moving plans, transparent pricing with no hidden fees, and a team led by experienced industry veteran Vlad Chasov, who focuses on ensuring safety and customer satisfaction throughout the move process.",40,info@chasmovers.com
expressmovingllc@att.net,att.net,,,,,,,,,,,
info@sanclementemovers.com,sanclementemovers.com,San Clemente Movers,CONSUMER_SERVICES:1.0,"B2B:0.79, B2C:0.97",1-10M,1-10,San Clemente,CA,US,"San Clemente Movers is a moving company that offers a variety of relocation services in San Clemente and surrounding areas. Their main functionalities include local moves, long-distance relocations, office relocations (including furniture and heavy items), same-day moves, and specialized packing for seniors. The team consists of trained professionals who ensure safe handling of belongings, providing transparent pricing with no hidden fees, and ensuring personalized customer support throughout the move. They also offer free moving supplies, including clothing and accessories, to assist families during their relocation process.",43,info@sanclementemovers.com
info@offdutymovers.ca,offdutymovers.ca,Off Duty Movers,CONSUMER_SERVICES:1.0,B2C:0.87,<1M,1-10,Milton,ON,CA,"Off Duty Movers is a moving service that offers specialized storage and packing solutions for firefighters and other professionals. They provide plastic bins and warehousing options designed to protect items, with features like waterproof designs and easy loading and offloading. The company emphasizes environmentally friendly practices and offers delivery and pickup on selected days of the move. Customers can request a free estimate through their website.",35,info@offdutymovers.ca
hi@moversrocktransportllc.com,moversrocktransportllc.com,Movers Rock Transport LLC,CONSUMER_SERVICES:1.0,"B2B:0.78, B2C:0.99",1-10M,1-10,Colonia,NJ,US,"Movers Rock Transport LLC is a moving service provider based in Linden, NJ, specializing in residential and commercial moving solutions. They offer a range of services including heavy lifting, furniture assembly, junk removal, packing and unpacking, and long-distance moving. The company emphasizes transparent pricing, customer communication, and personalized support throughout the moving process, ensuring a smooth transition for clients. Their experienced team is licensed and insured to handle various moving needs efficiently.",52,hi@moversrocktransportllc.com
info@hometohomerelocation.com,hometohomerelocation.com,,,,,,,,,,,
shannon@eldermove.ca,eldermove.ca,Elder Move Inc.,CONSUMER_SERVICES:1.0,B2C:0.84,<1M,1-10,Edmonton,AB,CA,"Elder Move Inc. offers moving and downsizing assistance specifically for seniors in Alberta. Their main services include new home packing, organizing, relocation support, and assistance with settling into a new place. The company is led by a certified Senior Move Manager who guides the moving process from start to finish, ensuring a stress-free experience for seniors and their families during their moves. They serve various communities across Alberta, focusing on comfort and ease during the moving journey.",103,shannon@eldermove.ca
contact@deluxemovingsolutions.com,deluxemovingsolutions.com,Deluxe Moving Solutions,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.96",1-10M,1-10,Atlanta,GA,US,"Deluxe Moving Solutions is a moving company based in Atlanta, GA, offering residential and commercial moving services. Their main functionalities include same-day moves, specialized moving for office relocations, long-distance moving, and junk removal. Key features include professional packing services, safe storage solutions, and the use of well-maintained vehicles to ensure efficient movement of belongings. The company aims to provide personalized support throughout the moving process, ensuring customer satisfaction and reliability.",27,contact@deluxemovingsolutions.com
info@thepromovers.com,thepromovers.com,The ProMovers,CONSUMER_SERVICES:0.96,"B2B:0.92, B2C:0.84",1-10M,1-10,Brooklyn,NY,US,"The ProMovers is a moving company that provides specialized moving services for both local and long-distance moves in New York City. Their main functionality includes packing, transporting, and unpacking belongings, as well as offering furniture disposal and assembly services. Key features include personalized moving consultations, professional packing and unpacking on the move day, and assistance with relocation needs after the move to a new location. They also provide insurance coverage for moving expenses and have experience serving various NYC neighborhoods.",85,info@thepromovers.com
support@goodjobmovers.com,goodjobmovers.com,Good Job Movers,CONSUMER_SERVICES:1.0,"B2B:0.94, B2C:0.97",1-10M,1-10,Santa Clarita,CA,US,"Good Job Movers is a moving company based in Santa Clarita, California, offering a variety of professional relocation services for residential and commercial clients. Their main functionalities include local residential moves, long-distance relocations, furniture moving, senior moving, and specialized moving for heavy items like gun safes and appliances. The company emphasizes safety, customer service, and transparent pricing with no hidden fees, ensuring that all moving tasks are handled by trained and insured movers. They also provide additional services such as junk removal, storage, and packing assistance to streamline the moving process.",34,support@goodjobmovers.com
info@pereezd-plus.com,pereezd-plus.com,Pereezd Plus,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.97",1-10M,1-10,Anchorage,AK,US,"Pereezd Plus is a moving company specializing in long-distance relocation to Alaska, offering services for both residential and commercial moves. They provide comprehensive moving solutions including packing, transportation via the Alcan Highway, and climate-controlled storage options. Key features include free estimates, real-time GPS tracking, dedicated move coordinators, and a focus on timely delivery and tailored logistics to meet individual needs. With over 15 years of experience, their team ensures smooth transitions and personalized support throughout the moving process.",254,info@pereezd-plus.com
info@pinnacletruckinglogistics.com,pinnacletruckinglogistics.com,Pinnacle Trucking Logistics,"SUPPLY_CHAIN_AND_PROCUREMENT:0.7, CONSUMER_SERVICES:0.29","B2B:0.98, B2C:0.89",10-100M,11-50,Queens,NY,US,"Pinnacle Trucking Logistics is a moving and logistics service provider that offers a range of solutions for residential, commercial, and corporate relocations. Their main functionality includes packing, transporting, and storing belongings, ensuring a smooth and secure relocation process. Key features include time-bound deliveries, 24/7 online support, safety and reliability in transport, and a commitment to customer satisfaction with a focus on timely and professional service.",36,info@pinnacletruckinglogistics.com
move@lamovingstar.com,lamovingstar.com,LA Moving Star,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.98",1-10M,1-10,North Hollywood,CA,US,"LA Moving Star is a moving company based in Los Angeles that offers a range of services for residential and long-distance moves. Their main functionality includes providing packing, safe storage, and emergency moving support, ensuring timely delivery and customer satisfaction throughout the move process. Key features include all-inclusive pricing with no hidden fees, a commitment to responsible packaging, and a focus on customer service with multiple locations across California.",134,move@lamovingstar.com
info@peachstatemovers.com,peachstatemovers.com,Peach State Movers,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.96",1-10M,1-10,Atlanta,GA,US,"Peach State Movers is a moving service that offers residential and commercial moves, handling everything from packing to furniture placement. They provide expert packing services, ensuring careful care of items throughout the move, and ensure responsible junk removal for recycling or donating. The company is licensed and insured, transparent pricing, and emphasizes customer support throughout the moving process. Customers can request free quotes through an online form, after which their team arrives to assist with the logistics of their relocation.",40,info@peachstatemovers.com
info@kingaffordablemovers.com,kingaffordablemovers.com,King Movers & Storage,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.89",1-10M,1-10,Lynn,MA,US,"Jean Woo, DDS, PA is a general dental practice located in Fort Walton Beach, FL, offering a range of services for patients of all ages. The office provides routine checkups, emergency care, and preventive maintenance, utilizing advanced technology and experienced professionals. Patients can schedule appointments online or by phone, and the office emphasizes patient comfort and safety in its approach. Additionally, Dr. Woo's team is committed to community involvement and offers various forms and resources for new patients.",116,info@kingaffordablemovers.com
elmer@1callmovers.com,1callmovers.com,1-Call Movers,CONSUMER_SERVICES:1.0,"B2B:0.53, B2C:0.94",<1M,11-50,Burnaby,BC,CA,"1-Call Movers is a moving company based in Vancouver that offers professional moving services for both small and large moves. They provide a range of services including packing, unpacking, furniture removal, and storage solutions such as plastic moving boxes and dumpers. Customers can book moving appointments online or by phone, with flexible payment options including Visa, Master cards, and cash. The company emphasizes transparency in pricing, ensuring no hidden fees or overtime charges during their move process.",70,elmer@1callmovers.com
support@atlantmoving.com,atlantmoving.com,Atlant Moving,CONSUMER_SERVICES:1.0,"B2B:0.78, B2C:0.97",1-10M,1-10,Encino,CA,US,"Atlant Moving is a local moving company based in Encino, California, offering a range of relocation services for residential, office, and long-distance moves. Their main functionalities include providing professional moving assistance, handling heavy items like refrigerators and furniture, and assisting with senior relocations. Key features include transparent pricing, experienced crews, and a commitment to customer satisfaction through dedicated service and insurance coverage. The company has been serving over 7,500 clients since its inception in 2014.",125,support@atlantmoving.com
info@eastside-movers.com,eastside-movers.com,Eastside Movers LLC,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.97",1-10M,1-10,Franklin,MA,US,"Eastside Movers LLC is a moving company that offers residential and commercial moving services across the Northeastern United States. Their main functionalities include packing, unpacking, labor only moving, and junk removal, ensuring a smooth move experience for clients. Key features include free estimates, transparent pricing with no hidden fees, experienced movers who prioritize customer satisfaction, and specialized services for senior relocations and home renovations. They cater to various areas in Massachusetts, New Hampshire, and Pennsylvania.",50,info@eastside-movers.com
info@2dudesandatruck.ca,2dudesandatruck.ca,2 Dudes And A Truck,CONSUMER_SERVICES:1.0,"B2B:0.54, B2C:0.97",N/A,1-10,Calgary,AB,CA,"2 Dudes and A Truck is a family-owned moving company based in Calgary that offers residential, long-distance, and senior delivery services. They provide a range of moving solutions including packing, unpacking, and transportation for various locations such as Cochrane, Sarnia, and Airdrie. With over 15 years of experience, they ensure accurate estimates and personalized service to help clients navigate their move needs effectively.",73,info@2dudesandatruck.ca
support@quik-move.com,quik-move.com,,,,,,,,,,,
info@westmountmovers.ca,westmountmovers.ca,Déménagement Économique,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.98",<1M,1-10,Montreal,QC,CA,"Westmount Movers is a moving company based in Westmount, Ontario, specializing in both residential and long-distance moves. They offer a range of services including packing, unpacking, furniture assembly, and storage solutions for businesses and individuals. The company emphasizes customer satisfaction through vetted employees, transparent pricing, and a commitment to safety and reliability, ensuring that all movers are trained and experienced professionals. Customers can request a quick quote and receive assistance throughout the moving process, with options for flexible scheduling and additional services like moving equipment rental and storage support.",62,info@westmountmovers.ca
jigar.javade@nexuslinkservices.in,nexuslinkservices.in,,,,,,,,,,,
info@pacificmovingcompany.com,pacificmovingcompany.com,Pacific Moving Company,CONSUMER_SERVICES:1.0,"B2B:0.89, B2C:0.94",1-10M,1-10,Irvine,CA,US,"Pacific Moving Company is a moving service based in Irvine, CA, specializing in local, long-distance, office, and specialized moves. They offer labor-only moves for families with extra support, safe and heavy item moves for seniors, and assistance with furniture and equipment relocation. The company emphasizes customer satisfaction and provides personalized estimates to ensure smooth and efficient moving experiences.",29,info@pacificmovingcompany.com
info@gentrymoving.com,gentrymoving.com,Gentry Moving & Storage,"CONSUMER_SERVICES:0.82, SUPPLY_CHAIN_AND_PROCUREMENT:0.15","B2B:0.99, B2C:0.87",1-10M,1-10,Johnston,RI,US,"Gentry Moving & Storage is a moving company based in Cranston, RI, offering a range of services for residential and commercial moves. Their main functionalities include packing, unpacking, and specialized moving services such as office and senior moving, as well as long-distance relocation from Maine to Florida. They provide customizable moving packages, handle furniture handling, and operate a fully equipped storage facility with efficient access control and secure handling of belongings. The company emphasizes customer service and aims to simplify the moving process through experienced movers and transparent pricing.",350,info@gentrymoving.com
info@seemamentalhealth.com,seemamentalhealth.com,Mental Health Movers,CONSUMER_SERVICES:1.0,"B2B:0.9, B2C:0.93",1-10M,1-10,Honolulu,HI,US,"Mental Health Movers is a moving company that specializes in residential and commercial relocations to Hawaii. They offer a range of services including packing, ocean freight shipping, climate-controlled storage, and insurance coverage for moves. Their team provides personalized moving plans, transparent pricing, and 24/7 support throughout the relocation process, ensuring a seamless experience from start to finish. The company operates across all Hawaiian islands and offers free estimates and various relocation services tailored to individual needs.",101,info@seemamentalhealth.com
info@adamsmovingservice.com,adamsmovingservice.com,Adam's Moving Service,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.96",10-100M,1-10,Seattle,WA,US,"Adam's Moving Service is a moving company based in Seattle that offers a range of services for both residential and commercial moves. Their main functionalities include packing, transporting, and delivering furniture, as well as providing professional labor and transportation services. The company emphasizes customer satisfaction through positive reviews and has been recognized as one of the top movers in the Greater Seattle area. They also offer free quotes and have multiple locations across Washington.",103,info@adamsmovingservice.com
sales@cardinalmovingky.com,cardinalmovingky.com,,,,,,,,,,,
support@oryxmoving.com,oryxmoving.com,Oryx Moving,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.95",1-10M,1-10,Jersey City,NJ,US,"ORYX Moving is a professional moving company that provides tailored moving services for homes and businesses across the United States. Their main functionality includes instant quotes for various moving needs, including local, long-distance, residential, commercial, packing, assembly, and storage solutions. Key features include a simple online quote request process, experienced movers who ensure timely service, and options for tracking shipments and ensuring secure handling of belongings throughout the moving process.",31,support@oryxmoving.com
info@doralmovers.com,doralmovers.com,,,,,,,,,,,
service@dansvanlines.com,dansvanlines.com,Dan's Van Lines,CONSUMER_SERVICES:1.0,B2C:0.96,1-10M,1-10,Alexandria,VA,US,"Dan's Van Lines is a moving service provider in Northern Virginia that offers local, long-distance, and full-service packing. Their main functionality includes organizing moves of all sizes, providing protective furniture, and offering storage solutions. Key features include free estimates, comprehensive insurance for valuables, and trained movers who ensure safe transport and efficient packing processes. They cater to various areas including Alexandria, Fairfax, Springfield, Chantilly, Manassas, Reston, and Haymarket.",122,service@dansvanlines.com
info@kerb.com,kerb.com,KERB,"CONSUMER_SERVICES:0.84, SUPPLY_CHAIN_AND_PROCUREMENT:0.16","B2B:0.61, B2C:0.88",10-100M,1-10,Tarzana,CA,US,"Kerb Moving Services offers a range of moving solutions for both local and long-distance moves across the U.S. Their main services include packing, unpacking, auto shipping, storage, and moving insurance. Kerb specializes in various types of relocations, including medical equipment and furniture, and provides all necessary services through an online platform that allows customers to request free quotes and manage their moving needs efficiently. The company emphasizes customer service and aims to deliver quality moving experiences while ensuring timely delivery and support throughout the move process.",199,info@kerb.com
info@bigbearmovers.co,bigbearmovers.co,Big Bear Movers,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.99",1-10M,11-50,Dedham,MA,US,"Awaken Reiki Studio offers holistic energy healing services, both in-person and remote, using the ancient Japanese technique known as Reiki. The studio provides personalized sessions that focus on restoring body's energy flow, promoting emotional balance, and enhancing spiritual growth. Clients can choose from various styles, including gentle touch or remote therapy, to experience benefits such as stress relief, better sleep, and overall wellness. TheStudio also hosts community gatherings for workshops and ceremonies to promote collective healing.",54,info@bigbearmovers.co
info@proamericanmoving.com,proamericanmoving.com,,,,,,,,,,,
contact@delicatemovers.co,delicatemovers.co,Delicate Movers,CONSUMER_SERVICES:1.0,B2C:0.96,N/A,1-10,Englewood,NJ,US,"Delicate Movers is a family-owned local moving company based in North New Jersey that offers a range of moving services for residential and commercial moves. Their main functionalities include full-service packing, home relocation, luxury move assistance, and specialized moving for fragile items like art and furnishings. Key features include transparent pricing, experienced movers who handle all aspects of the moving process, and a focus on customer care to ensure a smooth transition for clients throughout Northern New Jersey.",27,contact@delicatemovers.co
info@realquickmoving.com,realquickmoving.com,Real Quick Moving,CONSUMER_SERVICES:1.0,"B2B:0.88, B2C:0.85",<1M,1-10,Brooklyn,NY,US,"Real Quick Moving and Delivery Services is a moving company that provides fast and efficient moving and delivery services in New York City and surrounding areas. They offer small moves, office relocations, furniture deliveries, and long-distance travel options such as truck assisted help and pick-up. The company emphasizes transparent pricing with no hidden fees, ensuring secure transport of items through a High Roof Cargo Van, and features a team of experienced professionals who are highly rated on TaskRabbit for various moving tasks.",32,info@realquickmoving.com
