Name,Domain,Industry Groups,Description,Employees,Street,City,Country,company_clean,Final Email
"2026 PC Connection, Inc.",connection.com,E-COMMERCE:0.84,"Connection Supply Alert is an online retailer specializing in memory and storage products, particularly for office technology and networking needs. The website offers a wide range of items including computers, printers, servers, networking equipment, and accessories, as well as services such as hardware sales and technical support. Customers can track their orders, access product resources, and find clearance items, making it easy to find the right products for various industries like healthcare, education, and government.",1001-5000,730 Milford Road,Merrimack,US,2026 PC Connection,//customerservice@connection.com
Crane Service Inc,craneserviceinc.com,"CONSTRUCTION:0.71, BUSINESS_PRODUCTS_AND_SERVICES:0.19","Crane Service Inc. (CSI) provides heavy lift, rigging, heavy haul, and storage services across various industries including construction, mining, government, and healthcare. Their fleet includes over 1,500 cranes and specialized equipment, along with a commitment to safety and timely project completion. CSI offers services such as crane rentals, maintenance, and alternative movement solutions, while also selling used equipment for immediate purchase. The company emphasizes teamwork and has a strong track record of meeting safety standards throughout its operations.",201-500,1660 S. Albion St.,Denver,US,Crane Service,info@craneserviceinc.com
CSA Transportation,csatransportation.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Creamy Donuts is a bakery located in Richardson, TX, offering a variety of donuts, cakes, croissants, Danish desserts, and coffee. Customers can order online for carryout or visit the bakery during business hours. The menu features popular items like raspberry-filled donuts and chocolate twist donuts. The bakery emphasizes quality ingredients and customer service, with a focus on providing delicious baked goods.",51-200,355 Horner Avenue,Etobicoke,CA,CSA Transportation,customercare@shipcsa.com
CubeSmart,cubesmart.com,REAL_ESTATE:0.95,"CubeSmart offers a variety of self-storage units for rent, including climate-controlled and mini storage options, as well as specialized units for vehicle, RV, and boat storage. Customers can easily find and reserve storage spaces online, manage their accounts, and access services through an app. CubeSmart also provides additional features such as moving assistance, packing supplies, and military discounts on move-in specials. The company emphasizes customer service and aims to create a comfortable and welcoming environment for both new and experienced renters.",1001-5000,5 Old Lancaster Road,Malvern,US,CubeSmart,feedback@cubesmart.com
CWS Corporate Housing,cwshousing.com,"REAL_ESTATE:0.89, HOSPITALITY:0.11","CWS Corporate Housing provides fully furnished short-term rental apartments for 1-2-3 bedrooms across the United States. The service offers personalized support for relocation and business travel, ensuring a tailored housing experience for clients. Key features include full kitchens, high-speed internet, pet-friendly communities, 24/7 professional management, custom billing, and a single point of contact for inquiries and bookings. CWS also emphasizes sustainability in its operations and is accredited by industry standards.",51-200,106 E Old Settlers Blvd.,Round Rock,US,CWS Corporate Housing,info@cwshousing.com
Cyclonaire,cyclonaire.com,ENGINEERING:0.93,"Cyclonaire provides material conveyance solutions for various production phases, including Dense, Semi-Dense, and Dilute Phase processes. Their main functionality includes designing and implementing equipment such as air movers, conveyors, and sanding systems tailored to meet specific industry specifications. Cyclonaire also offers ongoing support through consulting, construction management, field service, and project management, ensuring efficient material handling and safety in operations.",51-200,1 2922 North Division Avenue,York,US,Cyclonaire,jandrews@cyclonaire.com
Direct Connect Logistix,dclogistix.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.95,"Direct Connect Logistix is a transportation and logistics company that offers a range of services including full truckload, intermodal, inter modal, and vehicle relocation. They specialize in cold chain shipping, particularly for the food and beverage industries, and provide tailored transportation solutions such as power-only moves and intermoda freight. The company utilizes advanced technology to enhance the transportation experience for both shippers and carriers, ensuring secure handling and accurate pricing. Customers can request quotes through their dynamic pricing tool and access a customer portal for managing their logistics needs.",51-200,130 S Meridian St,Indianapolis,US,Direct Connect Logistix,contact@dclogistix.com
DGM Services,dgm-usa.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.75, BUSINESS_PRODUCTS_AND_SERVICES:0.09","DGM Services is a packing and crating company that specializes in dangerous goods transport. They offer a variety of services including custom export packing, chemical packing solutions, container loading, and training for personnel involved in hazardous materials handling. DGM also provides onsite and online training programs to ensure compliance with regulations such as the IATA/CBTA 7.3 policy and has multiple locations across Texas, Florida, and Louisiana. Their goal is to help clients secure the safe transport of their cargo while maintaining employee safety and professionalism.",51-200,1813 Greens Rd.,Houston,US,DGM Services,info@dgm-usa.com
Dircks Moving & Logistics,dircks.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"Dircks Moving & Logistics is a full-service moving company based in Phoenix, Arizona, specializing in both residential and business moves. They offer a range of services including local and international moving, packing, storage, auto transport, and logistics management for various industries such as technology and office spaces. The company emphasizes customer satisfaction and provides tailored solutions to meet the specific needs of families and businesses, ensuring efficient and peace of mind throughout the moving process. Dircks is affiliated with Mayflower Van Lines and has over 35 years of experience in the moving industry, holding multiple awards for customer satisfaction.",51-200,4340 W Mohave St,Phoenix,US,Dircks Moving & Logistics,info@dircks.com
DuraServ LLC,duraservcorp.com,BUSINESS_PRODUCTS_AND_SERVICES:0.9,"DuraServ offers a range of services and products for both commercial and residential clients. Their main functionalities include the installation and maintenance of overhead doors, loading dock equipment, gate systems, and climate control solutions. They also provide garage door installation, repair and maintenance, and private label distribution of high-quality door products tailored to specific needs. Additionally, DuraServ features safety equipment designed for loading docks and offers various accessories like impact-resistant steel doors and HVLS fans.",201-500,12930 Sunnyside Place,Santa Fe Springs,US,DuraServ,contact@duraservcorp.com
Express Flooring,expressflooring.com,CONSTRUCTION:0.9,"Express Flooring offers a shop-at-home flooring installation service that allows homeowners to explore and purchase various flooring options, including carpet, luxury vinyl plank, hardwood, laminate, and tile. The company provides free in-home estimates, expert installation services, and a lifetime installation warranty. Their team of design consultants assists customers with selecting from hundreds of samples, ensuring quality and affordability for their homes. Express Flooring also features special promotions and financing options tailored to different budgets and needs.",51-200,4110 W Washington,Phoenix,US,Express Flooring,contact@expressflooring.com
Fehr & Peers,fehrandpeers.com,ENGINEERING:0.96,"Fehr & Peers is a transportation solutions company that specializes in planning and engineering for public and private sectors. They focus on creating safer and more effective transport systems that enhance community living. Their services include research and development (R&D) to address innovative challenges in transportation, as well as the creation of sustainable mobility solutions. The firm has worked with various cities across multiple states, emphasizing collaboration and innovation in their projects.",201-500,100 Pringle Avenue,Walnut Creek,US,Fehr & Peers,info@fehrandpeers.com
First Merchants Bank,firstmerchants.com,FINANCIAL_SERVICES:0.93,"First Merchants Bank offers a range of financial services for personal and business needs, including checking and savings accounts, credit cards, mortgages, loans, and online banking. The bank provides tools for managing finances through mobile apps, allowing customers to pay bills early and avoid overdrafts. Additionally, it features wealth management solutions, retirement planning, and various loan options tailored for small businesses and professionals, all supported by FDIC-insured services. First Merchants aims to enhance the financial wellness of diverse communities while ensuring customer service and support.",1001-5000,990 West Main Street,Peru,US,First Merchants Bank,customerservice@firstmerchants.com
FlexQube,flexqube.com,MANUFACTURING:0.9,"FlexQube offers a range of modular material handling solutions designed for various industries, focusing on automation and ergonomic control in material flow management. Their products include pallet and container carts, shelf carts, flow carts, and specialized units like lift runners and mother-daughter carts, all aimed at improving operational efficiency and reducing labor costs. FlexQube's systems are customizable to meet specific business needs, allowing for easy configuration and customization to fit different operations. The company also provides aftermarket services and has over 20 years of experience in the industry, serving more than 1,000 companies worldwide.",51-200,8 Mexico +52,Duncan,US,FlexQube,ejones@agvamerica.com
Flood Brothers,floodbrothers.net,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"Flood Brothers is a commercial moving company that provides a range of relocation services for businesses across various industries, including office furniture installation, laboratory moving, fitness equipment installation, and warehouse relocation. Their main functionality includes project-managed moving, storage solutions, and logistics support to ensure smooth transitions into new workspaces. Key features include certified installation by trained professionals, a network of transportation resources, and a commitment to timely and professional service throughout the moving process.",51-200,610 Waterfront Dr Sw,Atlanta,US,Flood Brothers,info@floodbrothers.net
Folo3,folio3.com,IT_SERVICES:0.95,"Fotografia is a photography studio that offers various photography services, including portrait photography, street photography, abstract photography, and filmography. The studio provides in-person and online courses for both beginners and experienced photographers, covering topics such as visual storytelling, editing, and cinematography. Additionally, it features an archive of personal portraits and global street photography collections that tell compelling stories through detailed images. Clients can book shooting sessions or workshops tailored to their specific needs, with flexible scheduling options available based on individual preferences.",501-1000,6701 Koll Center Parkway,Pleasanton,US,Folo3,aimarketing@folio3.com
Fry-Wagner Moving & Storage,fry-wagner.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.93,"Fry-Wagner Moving and Storage is a logistics company that provides a range of moving and moving services for both residential and commercial clients. Their main functionalities include local, long-distance, international, and employee relocation, as well as warehousing, distribution, and installation services. Key features include customized relocation plans, nationwide inventory management, and the ability to handle over 1 million moves annually across the United States and internationally. The company emphasizes safety, quality service, and customer satisfaction through virtual surveys and expert guidance throughout the moving process.",51-200,3700 Rider Trail South,Earth City,US,Fry-Wagner Moving & Storage,integritymatters@unigroupinc.com
Gamer Packaging,gamerpackaging.com,"BUSINESS_PRODUCTS_AND_SERVICES:0.87, SUPPLY_CHAIN_AND_PROCUREMENT:0.12","Gamer Packaging provides custom packaging solutions for various industries, including food and beverage, pharmaceuticals, health and beauty, and consumer goods. Their services encompass initial concept development, quality assurance testing, and warehousing, ensuring that products meet high-quality standards throughout the supply chain. They offer a complete range of packaging solutions, from sourcing from manufacturers to creating unique canopies, and provide decorating services to enhance brand visibility and functionality. Additionally, Gamer Packages supports clients with flexible financing options and has experience working with children's charities and pet owners.",51-200,100 S 5Th St,Minneapolis,US,Gamer Packaging,gamer@gamerpackaging.com
Global Tech Solutions,globalts.com,IT_SERVICES:0.94,"Global Tech Solutions provides IT support and services for businesses across various industries, including healthcare, education, and retail. Their main functionalities include managed IT services, cybersecurity, cloud computing, hardware repair, and business continuity solutions. Key features encompass 24/7 help desk support, remote monitoring, network security, and tailored IT consulting to enhance operational efficiency and drive growth.",201-500,2964 New Jersey 311 Blvd Of The Americas,Lakewood,US,Global Tech Solutions,info@globalts.com
The Armstrong Company,goarmstrong.com,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"The Armstrong Company is a full-service moving, storage, and logistics company that provides comprehensive solutions for both residential and business moves. They offer a range of services including transportation, warehousing, and supply chain management to ensure the movement of goods across various locations worldwide. With over 68 years of experience, their team collaborates closely with clients to handle all aspects of the move process, from packing and storage to final delivery. The company also features resources such as checklists, blog posts, and customer support to assist with moving planning and operations.",501-1000,8275 Tournament Drive,Memphis,US,The Armstrong,info@goarmstrong.com
GoShare Inc.,goshare.co,SUPPLY_CHAIN_AND_PROCUREMENT:1.0,"GoShare is a same-day delivery and moving service that connects customers with vetted drivers for last mile deliveries, middle mile logistics, and moving across the United States. Users can easily book services through a mobile app, receive real-time updates on their shipments, and track their progress in one place. GoShare offers various vehicle types, including box trucks, cargo vans, and pickups, and provides flexible scheduling options to accommodate different needs. The platform utilizes machine learning for accurate pricing and has over 65,000 verified delivery professionals to ensure reliable service.",51-200,11440 W Bernardo Ct,San Diego,US,GoShare,customerservice@goshare.co
Graebel Companies Inc.,graebel.com,"HUMAN_RESOURCES:0.89, BUSINESS_PRODUCTS_AND_SERVICES:0.07","Graebel provides global relocation services and mobility solutions for employees, including executives and interns. Their main functionality is to support the entire relocation process through a range of services such as pre-decision support, departure services, destination assistance, settling in, and repatriation. Key features include a technology platform called Graebel CitySwitcher for seamless moving processes, customized talent mobility strategies, and tools that enhance visibility and efficiency during transitions. Graebels aims to create personalized experiences while optimizing program costs and ensuring diversity and inclusion.",1001-5000,16346 E Airport Cir,Aurora,US,Graebel Companies,securityofficer@graebel.com
Grafton,grafton.com,HUMAN_RESOURCES:1.0,"Grafton is a global recruitment and human resources (HR) service that connects companies with qualified professionals across various industries. The company offers solutions such as permanent recruitment, temporary hiring, talent acquisition consulting, and employer-of-record services. Grafton operates in multiple countries and provides insights on hiring trends, career changes, and organizational strategies to enhance employee engagement and productivity.",201-500,,Grafton,US,Grafton,it.privacy@gigroup.com
Guidepost,guidepostsolutions.com,BUSINESS_PRODUCTS_AND_SERVICES:1.0,"Guidepost is a law firm that provides investigations, compliance, security, and risk management services for various industries including education, healthcare, government, and finance. Its main functionality includes conducting corporate investigations, managing regulatory compliance, and providing cybersecurity consulting to help organizations identify risks and develop effective strategies. Key features include due diligence, technology advisory services, and specialized security solutions tailored for educational institutions, healthcare providers, and government agencies. The firm also offers training programs and resources to enhance organizational safety and operational efficiency.",201-500,100 Pringle Avenue,Walnut Creek,US,Guidepost,privacypolicy@guidepostsolutions.com
Handling Specialty,handling.com,MANUFACTURING:1.0,"Handling Specialty is a manufacturer of custom material handling equipment and systems, specializing in scissor lifts, rail equipment, work positioners, guided vehicles, and various lifting devices. The company offers engineering services for designing and installing tailored solutions for industries such as aerospace, automotive, energy, and manufacturing. Key features include a wide range of products like robotic lift systems, flooring hoists, conveyors, and hydraulic systems, along with maintenance services to ensure optimal operation and operational efficiency. Handling Specialty also provides parts and services for their equipment, including repairs, inspections, and training.",51-200,219 S Service Rd,Grimsby,CA,Handling Specialty,info@handling.com
HardingPoorman,hardingpoorman.com,ADVERTISING_AND_MARKETING:0.95,"HardingPoorman is a full-service print and brand communications company that offers a variety of services to enhance marketing efforts. Their main functionalities include commercial printing, on-demand printing, custom packaging, signage, direct mail, eCommerce solutions, fulfillment, inventory management, mobile engagement, and creative services. They focus on providing quality service with timely delivery, responsive communication, and tailored solutions for various industries such as retail, government, and healthcare.",51-200,4923 West 78Th Street,Indianapolis,US,HardingPoorman,ap@hardingpoorman.com
ITW Hartness,hartness.com,MANUFACTURING:0.9,"ITW Hartness provides packaging machinery and solutions designed to enhance the efficiency of secondary packaging across various industries, including food, beverage, and personal care. Their main offerings include Dynamic Accumulators for managing product flow, Mass Flow Accumulation systems for buffering and pressureless handling, and Case Packaging systems that support both standard and specialized needs. Additionally, ITW Hartnesses offers training, audits, and refurbishment programs to ensure optimal performance and customer satisfaction.",201-500,50 Beechtree Blvd.,Greenville,US,ITW Hartness,dslessman@hartness.com
"Higher Information Group, LLC.",higherinfogroup.com,IT_SERVICES:0.92,"Higher Information Group (HIG) provides a range of technology solutions for businesses in Pennsylvania and New York, focusing on office technology, IT services, document management, security, marketing, and marketing. Their main functionality includes optimizing technology strategies, enhancing security, and improving operational efficiency to help organizations reduce costs and improve safety. Key features include managed IT services for IT support, cloud solutions, document storage services, and integrated marketing strategies such as content development and website design. HIG aims to simplify technology selection and provide tailored solutions that align with clients' specific needs across various industries.",51-200,1316 College Avenue,Elmira,US,Higher Information Group,helpdesk@higherinfogroup.com
Hilldrup,hilldrup.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.94,"Hilldrup is a moving, logistics, and workplace solutions company that offers a range of services for both residential and corporate relocation. Their main functionalities include local, long-distance, and international moving, as well as specialized warehousing, asset management, and employee mobility services. Hilldrup also provides transportation solutions such as freight forwarding, final mile delivery, and program management to ensure smooth operations across various industries including healthcare, retail, and government.",201-500,4022 Greenville Sc 750 Berry Shoals Road,Duncan,US,Hilldrup,hrgroup@hilldrup.com
International Association of Movers,iamovers.org,NONPROFIT_AND_PHILANTHROPY:1.0,"The International Association of Movers (IAM) is an organization that supports moving companies and suppliers in the global moving industry. It offers resources such as a directory for finding certified moving professionals, training programs, and tools to enhance operational efficiency and ethical standards. Key features include the IAMTrusted Moving Company program, e-learning courses, and access to a Mobility Exchange for tracking compliance issues and managing supplier information. Members can also participate in events like annual meetings and awards ceremonies to promote professional development and collaboration within the industry.",51-200,1600 Please Refer To The Table Below,Alexandria,US,International Association of Movers,membership@iamovers.org
