"﻿Input:Domain","Input:Accelerator","Input:Cohort","Domain","Name","Industry Groups","Business Model","Keywords","Description","Social URLs","Score","Revenue Range","Employees","Start Date","Street","City","State","Zip","Country","Phones","Public Emails","MX Provider","Redirect Domain","Update Date"
"agentmail.to","Y Combinator","Summer 2025","agentmail.to","AgentMail","SAAS:0.99","B2B:0.92","inbox api:0.61, ai agents:0.49, intuitive api:0.35, enterprise plans:0.3, mcp semantic search:0.28, spam prevention:0.27, browser automation:0.25, otp codes:0.24, curl cli:0.24, way notifications:0.19, attachments realtime:0.18, credit card:0.15, schedule meetings:0.15, routing ingest support:0.09, custom domain:0.09","AgentMail is an email inbox API designed for AI agents to create and manage their own email environments. It allows developers to build custom email accounts with a single API call, enabling real-time communication and two-way interactions like email notifications. Key features include automated message delivery, smart routing for customer service, and the ability to extract 2FA codes from email. AgentMail supports various integrations, including Gmail and other platforms, ensuring efficient handling of emails.","https://www.linkedin.com/company/agentmailto, https://x.com/agentmail","94","1-10M","1-10","2024-12-25","580 Howard St","San Francisco","CA","94105","US","","support@agentmail.cc, founders@agentmail.cc","amazon.com","","2026-07-12"
"agentphone.ai","Y Combinator","Spring 2026","agentphone.ai","AgentPhone","SAAS:0.93","B2B:0.78","webhook voice:0.55, agent agent:0.48, country code:0.41, api delivery:0.4, level telecom:0.3, mcp client:0.27, automatic conversation threading:0.27, verification inbox:0.26, helpful assistant:0.25, time transcription:0.19, real time:0.18, late lunch:0.16, native tool use:0.13, quick reply:0.12, pip install:0.06","AgentPhone is a communication tool designed for AI agents that provides a unified webhook for voice and messaging. It allows AI workers to make calls, send texts, and manage messages without human intervention through a single API. Key features include real-time transcription of voice calls, integration with various MCP clients like Claude Code and OpenClaw, and the ability to create automated agent workflows. AgentPhone aims to enhance productivity and efficiency by offering flexible phone numbers tailored to different roles within an organization.","https://www.linkedin.com/company/agentphone, https://x.com/agentphoneai, https://x.com/agentphonehq","8","<1M","","2026-02-24","","New York","NY","","US","+12045550183, +12365550196, +13065550156, +14155550127, +14155550142, +14155557890, +15875550112, +17185550136, +19055550164","founders@agentphone.to","cloudflare.com","agentphone.to","2026-07-03"
"agnost.ai","Y Combinator","Summer 2026","agnost.ai","Agnost AI","SAAS:0.96","B2B:0.79","ai cost:0.4, free enterprise:0.33, slos custom improvement:0.28, comprehensive observability:0.28, manual intervention:0.23, natural language data:0.22, opentelemetry native:0.19, priority feature:0.17, resolution natural:0.16, churn risk:0.15, retention audit:0.14, live dashboard:0.13, centre trust:0.11, channel unlimited time:0.1, setup friction:0.06","Agnost AI is a platform designed to enhance the performance of AI agents by extracting intent signals from conversations and running continuous improvement evaluations (evals). It autonomously analyzes these signals to identify areas for improvement, allowing agents to improve their processes without manual intervention. Key features include real-time insights into user interactions, automatic updates to agent behavior, and support for various communication frameworks like OpenTelemetry and MCP Toolbox.","https://www.linkedin.com/company/agnostai, https://x.com/calcom, https://x.com/shubhamintech","33","1-10M","1-10","2025-08-20","","","CA","","US","","shubham@agnost.ai","google.com","","2026-07-14"
"aino.world","500 Global","","aino.world","Aino","CONSTRUCTION:0.67, REAL_ESTATE:0.69, SAAS:0.99","B2B:0.89","firms spatial intelligence:0.41, project memory:0.32, overture maps amenities:0.31, gis report:0.29, estate development:0.29, external data sources:0.27, design tools:0.26, planning committee:0.26, data analysis:0.25, openstreetmap streets:0.19, active workspaces:0.18, rentcast rental rates:0.16, searchable context:0.13, team reuses:0.12, time offer:0.09","Aino is a platform designed for urban planning and development firms that automates site research, conducts spatial analysis, and produces presentation-ready maps. It connects to over 10 external data sources, allowing teams to access zoning, demographics, and other city information quickly and efficiently. Aino consolidates all analyses into a shared workspace where team members can collaborate on projects, ensuring consistent quality and consistency across multiple sessions throughout the project lifecycle. The platform supports both individual and collective analysis processes, enabling efficient collaboration and effective communication among planners and developers.","https://www.linkedin.com/company/ainotech, https://www.instagram.com/aino.world, https://twitter.com/aino_world, https://x.com/aino_world, https://www.youtube.com/@aino-world","178","1-10M","1-10","2022-04-22","4501 23Rd Avenue S","Fargo","ND","58104","US","+17438004031","hello@aino.world","google.com","","2026-07-05"
"airweave.ai","Y Combinator","Spring 2025","airweave.ai","Airweave","SAAS:0.93, SOFTWARE:0.96","B2B:0.92","query airweave:0.56, airweavesdk api_key:0.51, airweave retrieve:0.51, airweave ai:0.5, your_api_key acme:0.49, airweave context:0.48, airweave sdk:0.48, access airweave:0.48, agents airweave:0.48, import airweavesdk:0.47, docs airweave:0.46, retrieval ai:0.4, stripe_api_key search:0.39, acme corp:0.38, collection client:0.31","Airweave is a context retrieval layer designed for AI agents and RAG systems to retrieve relevant information from various applications and databases. It connects to multiple data sources, syncs data in real time, and provides a unified search interface for accessing up-to-date insights on demand. Key features include the ability to query data across multiple platforms, create a searchable knowledge base, and integrate with existing tools like Stripe and Shopify through Airweave's API key.","https://www.linkedin.com/company/airweave-dev, https://x.com/airweave_ai","96","1-10M","1-10","2025-01-06","","San Francisco","CA","94107","US","","hello@airweave.ai","google.com","","2026-07-09"
"akkari.io","Y Combinator","Spring 2026","akkari.io","Akkari","SAAS:0.97","B2B:0.73","draft rollout plan:0.41, agent execution fix:0.39, operational work:0.33, customer commitments:0.32, ticket status:0.31, upsell usage spike:0.3, integration security review:0.29, pricing breakdown:0.27, request access:0.26, patch pr:0.25, expansion intent api:0.25, slack thread:0.23, send cfo vendor:0.22, value lead icp:0.2, simulator support:0.16","Akkari is an AI-driven platform designed to automate customer operations for businesses, focusing on the entire lifecycle of sales processes from initial calls to product launches. It captures every conversation and analyzes conversations to identify commitments, requests, and issues that need action, ensuring timely responses and effective communication with customers. Key features include automated ticketing for fixes, scheduling meetings, and managing back-channel communications, all while continuously improving efficiency by capturing insights from user interactions and optimizing workflows.","","30","1-10M","","2025-08-30","1032 E Brandon Blvd","Brandon","FL","33511","US","","legal@tekara.ai","google.com","","2026-06-21"
"aktoria.com","Y Combinator","Summer 2026","aktoria.com","Aktoria Robotics","MANUFACTURING:0.67, SAAS:0.89","B2B:0.71","data collection:0.39, management fleet monitor:0.29, deployment train:0.27, fleet monitor:0.25, fleet management:0.23","The website offers financial advice and investment opportunities for individuals interested in investing in technology, particularly focusing on digital products like robots and AI. It provides insights into the potential savings of $1 million compared to traditional cash prizes and emphasizes a straightforward approach to investing in tech projects. Users can access various online tools, including an AI-powered robot that helps manage their investments remotely, as well as information on upcoming events such as opening deals and job openings. The site also features a newsletter signup for updates on new offerings and exclusive content.","","65","1-10M","","2025-05-27","","Denver","CO","","US","+13038930552","","google.com","hugedomains.com","2026-07-11"
"alaradental.com","Y Combinator","Summer 2025","alaradental.com","ALARA","HEALTHCARE:0.95, SAAS:0.85","B2B:0.85","dental supplier:0.59, vendor smart cart:0.34, compare pricing:0.31, free partner gift:0.24, free hve suction:0.23, disposable mini:0.21, payment info:0.21, availability search:0.2, analyzer scanning order:0.19, high volume attachment:0.18, dso level:0.17, universal restorative sku:0.17, instant access:0.17, slide search composite:0.1, start saving today:0.07","Alara is a platform designed to help dental professionals save on their purchasing costs for dental supplies. It allows users to compare prices and availability from over 300,000 suppliers in one place, track spending and orders, and access promotional offers. Key features include a smart cart for tracking expenses, automated pricing analysis, and the ability to connect with preferred vendors, all aimed at reducing overpaying for dental products.","","86","1-10M","11-50","2025-06-16","","Patterson","CA","95363","US","","support@alaradental.com","google.com","","2026-07-04"
"alkali.engineering","Y Combinator","Spring 2025","alkali.engineering","Alkali Engineering, Inc.","CONSTRUCTION:0.77, SAAS:0.97","B2B:0.87","excel alkali:0.53, alkali engineering:0.52, takeoffs alkali:0.5, alkali search:0.47, alkali ai:0.47, software alkali:0.46, alkali calculates:0.46, aisc weights:0.43, alkali tekla:0.42, project tonnage:0.39, steel estimation:0.39, material takeoffs:0.38, excel bluebeam:0.37, beams columns:0.33, base plates:0.31","Alkali is an online platform designed for steel estimation and material takeoff. It automates the process of estimating various types of steel, including beams, columns, joists, braces, and guardrails, by detecting specific elements like concrete slabs and loaders. Key features include built-in AISC weights for automatic tonnage calculations, real-time collaboration tools for team collaboration, and the ability to export PDFs to multiple platforms such as Tekla and Excel. Alkali aims to enhance accuracy in steel estimates while reducing costs associated with traditional metal handling methods.","https://www.linkedin.com/company/alkali-engineering","91","1-10M","1-10","2025-05-19","","Houston","TX","","US","","founders@alkali-eng.com","","","2026-07-11"
"alkera.ai","Y Combinator","Summer 2026","alkera.ai","Alkera AI, Inc.","BIG_DATA_AND_ANALYTICS:0.95","B2B:0.85","alkera ai:0.63, engineering alkera:0.56, data pipeline:0.55, integrations alkera:0.53, ai native:0.52, contact alkera:0.49, ai agents:0.48, data engineering:0.47, ai building:0.47, ide data:0.47, alkera turns:0.43, native ide:0.43, truth ai:0.42, database transformations:0.42, join waitlist:0.28","The website offers a platform for managing and analyzing data related to the Knocov system, specifically focusing on its associated processes. It provides tools for users to access various information systems, including AI-powered filters and automation solutions, allowing them to analyze complex data flow across different sectors such as finance, healthcare, and technology. The platform also supports automated workflows and integrates with existing ERP systems to streamline operations and enhance efficiency in financial management.","https://twitter.com/alkera_ai, https://x.com/alkera_ai","3","1-10M","","2026-04-19","","","","","US","","contact@alkera.ai","google.com","","2026-07-01"
"allus.ai","Y Combinator","Fall 2025","allus.ai","Allus AI","SOFTWARE:0.88, SAAS:0.07","B2B:0.97","manufacturing vision:0.53, universal ai solution:0.5, productivity ai:0.41, defect detection object:0.39, process monitoring:0.33, estimation video:0.3, vl task:0.3, model training:0.29, edgeai pricing request:0.29, purpose transformer model:0.25, food start autoplay:0.21, level performance:0.21, ii control framework:0.17, case review solution:0.14, international information security:0.11","Allus AI provides a comprehensive vision solution designed for manufacturing applications, focusing on quality assurance and process monitoring. The platform offers advanced models that include object detection, image classification, and video tracking, all aimed at enhancing productivity and efficiency in production processes. Key features include rapid solution delivery within 30 minutes, real-time analytics for optimizing quality and efficiency, and integration with various cameras and robots to streamline operations.","https://www.linkedin.com/company/allus-ai","125","1-10M","1-10","2023-10-23","","Davis","CA","","US","","contact@allus.ai","microsoft.com","","2026-07-03"
"alterauth.com","Y Combinator","Summer 2025","alterauth.com","Alter Vault","CYBERSECURITY:0.96","B2B:0.89","apis vault:0.61, vault authorization:0.59, authorization engine:0.57, linear oauth:0.49, ai_agent api:0.49, api github:0.47, agent googleapis:0.47, vault ai:0.47, request agent:0.47, secure agents:0.46, weeks auth:0.46, auth layer:0.45, token api:0.42, sdks identical:0.39, gnt_7x92k audit:0.39","Alter Vault is an authorization layer designed for AI agents to securely manage API connections. It authenticates, authorizes, and logs requests, ensuring that all interactions are between real humans and the intended users. Key features include a centralized management dashboard, identity resolution, automated audit logging, and support for various APIs like Google Calendar and Salesforce. Alter also offers integration with multiple frameworks and services, enhancing security and efficiency in managing user access across different applications.","https://www.linkedin.com/company/alterai-dev, https://x.com/alter_ai_labs","81","1-10M","1-10","2024-12-31","","New York","NY","","US","","privacy@alterai.dev, founders@alterai.dev, privacy@alterauth.com, sarah@acme.org, security@alterauth.com, sarah@acme.dev, security@alterai.dev","google.com","","2026-07-17"
"altrina.com","Y Combinator","Winter 2025","altrina.com","Altrina Corporation","SAAS:0.96","B2B:0.9, B2G:0.52","cases platform:0.51, compliance altrina:0.49, altrina platform:0.48, capabilities altrina:0.47, altrina corporation:0.46, altrina automate:0.46, ceo ai:0.45, regulated enterprise:0.42, role based:0.4, claims systems:0.39, operations accountable:0.37, support automated:0.36, pricing developers:0.36, paralegal workload:0.36, demo operate:0.35","Altrina is a platform designed to automate workflows for healthcare and legal back offices across multiple regulated systems. It automates processes such as data ingestion, report generation, and compliance tracking, reducing the time spent on manual tasks like contract review and ticket resolution. Key features include real-time monitoring of operations, automated reporting with audit trails, and integration capabilities with existing legal and audit workflows. Altrina aims to enhance efficiency and accuracy in regulatory execution while ensuring compliance with standards.","https://www.linkedin.com/company/altrina, https://x.com/altrina_ai, https://www.youtube.com/@altrina_ai","91","1-10M","1-10","2023-07-22","","Menlo Park","CA","","US","","support@altrina.ai, support@altrina.com","google.com","","2026-06-30"
"ambiguous.io","a16z Speedrun","SR005","ambiguous.io","Ambiguous AI","SAAS:1.0","B2B:0.9","ai coworkers:0.59, scheduling assistant:0.58, ai coworker:0.58, ai agent:0.54, teammates ai:0.51, ambiguous ai:0.5, coworkers manage:0.49, ambiguous coworkers:0.49, crm assistant:0.49, assistant forward:0.46, workflow engine:0.46, tools teammates:0.45, coworkers integrations:0.45, requests coworker:0.42, repetitive tasks:0.4","Ambiguous is a platform that provides AI coworkers to enhance organizational efficiency. Each coworker has its own email, manages scheduling, and updates client interactions without requiring personal knowledge. The system utilizes an Agentic Brain for consistent identity and adaptive learning to streamline tasks like reporting and communication, allowing users to focus on their core business operations. Key features include automated scheduling, CRM management, integration with popular tools like Slack and Salesforce, and customizable workflows to fit different organization needs.","https://www.linkedin.com/company/ambiguous-ai","68","1-10M","1-10","2025-04-03","800 Bellevue Way Ne","Bellevue","WA","98004","US","","dan@ambiguous.io, ryan@ambiguous.io, hello@ambiguous.io, phil@ambiguous.io, privacy@ambiguous.io","google.com","","2026-06-18"
"ambral.com","Y Combinator","Summer 2025","ambral.com","Ambral","SAAS:0.99","B2B:0.94","shipbob processes:0.55, ambral ai:0.54, shipbob coming:0.52, soon shipbob:0.52, accounts ambral:0.51, customer ambral:0.5, smbs shipbob:0.5, founders ambral:0.47, merchant gmv:0.47, merchants risk:0.43, millions merchant:0.43, risk churning:0.39, leading enterprises:0.38, ai account:0.37, reality enterprise:0.36","Ambral is an AI-powered account management platform designed to enhance customer engagement and drive growth for businesses. It integrates with various enterprise systems, continuously monitoring accounts, providing real-time insights into customer interactions and churn rates. Key features include automated task execution by agents before team initiation, a focus on optimizing account performance, and the ability to manage multiple accounts simultaneously, all aimed at improving efficiency and reducing costs.","https://www.linkedin.com/company/ambral","161","1-10M","1-10","2019-08-10","55 Washington Street","Brooklyn","NY","11201","US","","privacy@ambral.com, disputes@ambral.com, founders@ambral.com, legal@ambral.com","google.com","","2026-07-15"
"amdahl.ai","a16z Speedrun","SR006","amdahl.ai","Amdahl","BIG_DATA_AND_ANALYTICS:0.92, SAAS:0.95","B2B:0.9","predictive buyer:0.52, customer intelligence:0.47, custom agent:0.45, market team:0.42, pricing backlash:0.41, plugin marketplace:0.4, genie product:0.38, market advantage multiply:0.32, opps slack:0.31, win rate reps:0.3, api reference benchmarks:0.27, book demo:0.25, frontier machine learning:0.22, onboarding post:0.19, week migration friction:0.14","Amdahl is a machine learning platform designed to enhance the efficiency of go-to-market teams by providing predictive insights and data analysis. It aggregates customer conversations with pre-processed transcripts, allowing agents to identify buyer patterns and market signals quickly. Key features include continuous intelligence updates, integration with various communication platforms like Slack and email, and tools for managing client interactions through automation. Amdahl aims to improve agent performance and reduce operational costs by delivering actionable insights that help clients stay informed about their buyers' needs and competitors' tactics.","https://www.linkedin.com/company/amdahl-ai, https://twitter.com/amdahl_ai, https://x.com/amdahl_ai","59","1-10M","1-10","2025-07-22","8 The Green","Dover","DE","19901","US","","hello@amdahl.co","","amdahl.co","2026-07-14"
"amika.dev","Y Combinator","Fall 2025","amika.dev","Amika","SAAS:0.96","B2B:0.86","automate agent:0.61, software factory:0.45, test suite:0.31, github pr review:0.31, model run codex:0.24, event workflow:0.22, scaffold prototype:0.2, indexing codebase:0.18, open draft:0.17, ship work:0.16, update docs:0.15, link sentry:0.12, token usage:0.12, isolated micro:0.12, root access:0.08","Amika is a platform that provides sandboxed AI agents for teams to manage their own codebase and automate development tasks. It allows team members to create task-based workflows, such as connecting tickets and Jira issues, while also enabling non-engineers to collaborate on agent sessions and share workspaces across the team. The service includes live previews of changes, automatic error reading, and integration with tools like CI and Datadog, ensuring efficient handling of codebase context and errors.","","78","1-10M","1-10","2024-11-27","169 Madison Ave","New York","NY","10016","US","","privacy@amika.dev, notices@amika.dev","google.com","","2026-07-14"
"amissa.com","Techstars","2026","amissa.com","Amissa Health","HEALTHCARE:0.97, SAAS:0.96","B2B:0.81","menopause research advancing:0.5, useful symptom tracking:0.47, longitudinal documentation:0.32, clinical insight:0.31, efficient care delivery:0.31, midlife care:0.29, licensed healthcare provider:0.28, health condition:0.28, wearable data:0.25, ongoing tracking:0.23, android app:0.23, daily life ongoing:0.21, incomplete documentation:0.2, short appointment:0.16, hypothesis generation:0.01","Amissa is a platform that collects and analyzes wearable data related to perimenopause, which involves tracking symptoms and analyzing them through structured, longitudinal documentation. It allows healthcare providers to better understand patient experiences and improve clinical decisions by providing real-time insights into menopause symptoms over time. Key features include the ability to identify symptom clusters, deliver EHR-ready documentation for patients, and support for researchers in understanding menop aged women's health. The platform aims to enhance midlife care by facilitating personalized treatment plans and improving overall wellness.","https://www.linkedin.com/company/amissa, https://www.facebook.com/amissadotcom, https://www.instagram.com/amissa_inc","146","1-10M","11-50","2022-09-23","9313 Robert D. Snyder Rd","Charlotte","NC","28223","US","+12069730255","","google.com","","2026-07-05"
"anchr.tech","a16z Speedrun","SR005","anchr.tech","Anchr","FOOD_AND_BEVERAGE:0.62, SAAS:0.98, SUPPLY_CHAIN_AND_PROCUREMENT:0.8","B2B:0.92","inventory management:0.65, manage inventory:0.58, inventory purchasing:0.58, driven inventory:0.58, inventory needs:0.56, order management:0.55, automate supplier:0.54, inventory forecasting:0.53, logistics solution:0.52, replenishment automate:0.48, ai startups:0.47, food distributors:0.47, intelligent product:0.42, act upsell:0.4, anchr agents:0.37","Anchr is an AI-driven platform designed for food distribution companies to streamline their internal logistics and operations. It automates order management, customer support, finance processes, and inventory management by connecting demand, supply, and sales data into a single interface. Key features include automated customer support with voice commands, real-time inventory optimization, advanced insights through reports, and integration with existing systems like ERP and CRM. Anchr aims to reduce errors and improve efficiency while enhancing profitability for its users.","https://www.linkedin.com/company/anchr-ai","78","1-10M","1-10","2025-03-14","13640 Burke Road","Los Altos Hills","CA","94022","US","","","google.com","","2026-07-12"
