company_name,domain,employee_count,hq_location,company_linkedin_url,infra_check,infra_titles_found,infra_reasoning,dev_count,contact_name,contact_title,contact_linkedin,_has_verified_buyer,_hiring_job_title,_hiring_job_url,_hiring_job_posted,_hiring_job_description
Bosa Properties Inc.,bosaproperties.com,271,"Vancouver, BC",https://www.linkedin.com/company/bosa-properties,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",0,,,,no,Snr Cloud Infrastructure Engineer,https://job-boards.greenhouse.io/bosapropertiesinc/jobs/5251105008,2026-06-23 16:18:18,"ABOUT THE COMPANY Bosa Properties Inc. (“BPI”) is an end-to-end real estate company offering human-centered solutions for property development and management. Based out of Vancouver, Canada, our team of in-house experts work across residential, commercial and master-planned projects, with a growing residential portfolio that includes more than 22,000 homes that are built or under development, and an income portfolio that includes 5.5 million square feet of retail, industrial, office and rental properties under management. We are an organization of high achievers and believe what is created in community is always better than what is created in isolation. We set high expectations and support you in achieving excellence. We are building a trusted community to collaborate, learn from each other and deliver results. #LI-Hybrid About The Role Reporting to the Director, IT Operations, the (Senior) Cloud Infrastructure Engineer builds and runs the cloud platforms Bosa depends on, keeping our people productive, our identities and data secure, and our systems resilient. You'll look for every chance to make that easier through infrastructure-as-code, automation, and AI-assisted engineering, and partner with the rest of the Technology group and business users to protect what we run today and help shape what we'll run next. This isn't a traditional sysadmin role. Our technology team is moving closer to the business, working alongside users to understand how work actually gets done, then using cloud-native tooling and AI to solve real problems where they add the most value. That includes opportunities to design and build internal web applications and tools with the business, where a custom solution is the right fit. We're a small, curious team that experiments, shares what we learn, and is energized by how quickly this space is changing. We're looking for someone who is genuinely interested in that shift, and who wants their day to be a mix of the fundamentals: identity, security, productivity, and resilience, and the newer work of figuring out where AI and automation fit best. What You'll Do * Engineering and administration of AWS as our primary cloud platform (VPC, ECS, Route 53, IAM, EC2, S3) * Infrastructure-as-code using Terraform / OpenTofu to provision and manage AWS and SaaS resources * Administration of Microsoft 365 (Exchange Online, SharePoint, Teams, OneDrive, Intune, Defender) * Administration of Microsoft Entra ID, including Conditional Access Policies, MFA, Privileged Identity Management, and risky sign-in / risky user remediation * Endpoint and identity security: least-privilege access, Defender for Endpoint, Intune compliance, and certificate lifecycle management * DevOps practices using GitLab and Git; branching, code review via merge requests, and CI/CD pipelines for infrastructure, scripts, and configuration * Containerized workloads using Docker and AWS ECS * Scripting and automation in PowerShell, P"
Stack AV,stackav.com,293,"Pittsburgh, PA",https://www.linkedin.com/company/stackav,REVIEW,"""Senior Enterprise Systems Engineer"" is an adjacent/unnamed infra signal: ""Senior Enterprise Systems Engineer Senior Enterprise Systems Engineer @ Stack AV""","""Senior Enterprise Systems Engineer"" is an adjacent/unnamed infra signal: ""Senior Enterprise Systems Engineer Senior Enterprise Systems Engineer @ Stack AV""",13,Alvaro Collet Romea,VP of Engineering,https://www.linkedin.com/in/alvaro-collet-romea,yes,Site Reliability Engineer,https://job-boards.greenhouse.io/stackav/jobs/5170448007,2026-06-22 15:55:26,"About Stack: Stack is developing revolutionary AI and advanced autonomous systems designed to enhance safety, reliability, and efficiency of modern operations. Stack's autonomous technology incorporates cutting-edge advancements in artificial intelligence, robotics, machine learning, and cloud technologies, empowering us to create innovative solutions that address the needs and challenges of the dynamic trucking transportation industry. With decades of experience creating and deploying real world systems for demanding environments, the Stack team is dedicated to developing an autonomous solution ecosystem tailored to the trucking industry's unique demands. About the Role: Stack AV Site Reliability Engineers are responsible for enabling and ensuring our production systems meet their service-level objectives. Through the implementation of centralized observability and automation, the SRE team constantly ensures the health, reliability, scalability, and performance of Stack AV’s infrastructure. In this SRE role, you will be ensuring the robustness and operational readiness of the compute platform that powers large-scale autonomous systems development. The team is responsible for enabling engineers and researchers to efficiently run compute and data intensive workloads on StackAV infrastructure. The Compute Platform team is responsible for designing and operating the systems that orchestrate and scale batch and distributed workloads across our environments. You will work at the intersection of infrastructure, distributed systems, and developer experience–ensuring that complex workloads are reliable, efficient, and easy to run. As a Compute Platform SRE, you help be responsible for ensuring the operational readiness and maturity of high scale batch compute systems and workflow orchestration systems that power engineers across the company. Responsibilities: Instrument systems scheduling and executing large-scale batch workloads across Kubernetes clusters. Diagnose and triage job failures for customers. Collaborate with teams across the company to understand workload requirements and improve platform capabilities. Scale the reliability and velocity of our systems and processes through increased automation. Document actions to build a comprehensive library of runbooks, which will act as a knowledge base and foundation for automation. Participate in an on-call rotation to uphold the SLOs and SLAs of production services. Contribute to platform tooling, automation, and CI/CD workflows. Qualifications: Fundamental understanding of Linux operating system internals, TCP/IP networking, and storage subsystems. Strong experience with Kubernetes and container orchestration in production grade environments. Understanding of engineering design limitations and ability to provide guidance to teams to scale their services to achieve desired performance within budget. Strong experience implementing and debugging cloud native and open source tools such as Kubernetes, et"
Terzo,terzo.ai,215,"Los Angeles, California",https://www.linkedin.com/company/terzoai,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",5,Luis O.,VP of Engineering,https://www.linkedin.com/in/luis-o-82a7a9178,yes,(Sr/Staff) Platform Engineer,https://job-boards.greenhouse.io/terzo/jobs/4291476009,2026-06-22 3:41:28,"Platform Engineer Location: US - Remote Level: Senior Individual Contributor Team: Engineering The Opportunity Terzo's platform processes enterprise-scale document corpora, powers real-time AI agents, and serves the Financial Intelligence Graph to Fortune 500 customers who expect production-grade reliability. You will own the infrastructure that makes this possible including our cloud environments, data pipelines, compute orchestration, observability, and deployment systems. You will build and operate the foundational infrastructure that every product team at Terzo ships on top of. This includes cloud infrastructure on Azure, data pipeline orchestration (Ray, Service Bus, CDC), CI/CD and deployment automation, observability and incident response, and the operational practices that keep the platform reliable as it scales. You are the person who ensures the rest of engineering can move fast without things breaking. You might thrive in this role if you have 5+ years of experience building and operating production cloud infrastructure at scale Strong experience with infrastructure-as-code (Terraform) and cloud platform management, Azure is a plus. Solid understanding of container orchestration (Kubernetes, Docker) and modern deployment patterns Experience building and maintaining CI/CD pipelines, deployment automation, and developer tooling Comfort with observability systems including monitoring, alerting, logging, tracing Strong SRE instincts: you think in terms of SLOs, capacity planning, incident response, and eliminating toil through automation You could be an especially great fit if you have Experience operating data infrastructure e.g. data pipelines, streaming systems, distributed compute Familiarity with distributed compute frameworks (Ray) or streaming technologies (Kafka, Azure Service Bus) Prior work in a B2B SaaS or enterprise data platform environment where uptime and data integrity are contractual Prior work at a high-growth startup where you built infrastructure foundations from the ground up, not just maintained them Why Join Terzo Opportunity to build and own a foundational enterprise data platform High-impact role with real influence on architecture and technical direction Complex problems involving data, AI, scale, and enterprise customers Small, senior team with strong ownership and minimal bureaucracy Clear runway for technical and leadership growth as the platform scales Benefits & Perks Competitive salary Annual performance bonus Employee stock option plan 100% paid medical, dental, and vision coverage 401(k) with employer contribution Generous vacation and sick leave Flexible work arrangements High-quality equipment for home and office Strong culture of collaboration, mentorship, and continuous improvement Link to Terzo Technologies Privacy Policy"
Pura,pura.com,266,"Pleasant Grove, Utah",https://www.linkedin.com/company/pura-scents,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",3,Andrew Wallin,VP of Engineering,https://www.linkedin.com/in/andrew-wallin-61622192,yes,Staff SRE,https://pura.applytojob.com/apply/Aohqj3N9Oj/Staff-SRE,2026-06-22 0:00:00,"Staff Site Reliability Engineer Join Us at Pura—Reimagining Fragrance for the Future At Pura, we believe life is better when it smells good. Fragrance has the unique power to transform spaces, elevate moods, and create lasting memories. But we know it can do even more. That’s why we’re pioneering the future of fragrance, combining cutting-edge smart home technology with premium, clean scents to create personalized, meaningful experiences in every home. We’re not just a fragrance company—we’re on a mission to change the way people experience scent. At Pura, we are redefining fragrance as a critical element of design, on par with color, texture, sound, lighting, and furniture. We call this Scent Design—transforming scent from an afterthought into an intentional, skillful component of every space. By blending artistry and science, Pura allows users to design their own “scentscapes” that enhance daily life and craft environments that feel as good as they smell. Why Join Pura? Our journey began with two innovators, Richie Stapler and Bruno Lima, and their shared vision of revolutionizing how we experience fragrance. Since then, Pura has grown into a company that sells a fragrance every 3.7 seconds, partnering with iconic brands like Curio, Anthropologie, and Disney. We’ve been recognized as the Fastest Growing Company in Utah, and we are passionate about making scent a core part of life’s most memorable moments. Your Role at Pura: In this high-impact staff-level role, you will: Architect, design, and implement enterprise-scale infrastructure solutions supporting Web, Mobile, Backend, and Data engineering teams, while providing technical leadership across cross-functional groups. Define and drive adoption of reliability standards, architectural patterns, and engineering best practices across the organization, working closely with engineering and security leadership. Lead performance optimization initiatives, implementing sophisticated monitoring strategies and leveraging advanced analytics to ensure exceptional system reliability and performance at scale. Design and implement comprehensive automation frameworks for infrastructure provisioning, configuration management, and deployment processes, focusing on efficiency and scalability. Serve as the technical authority for incident management, establishing robust incident response frameworks, leading cross-functional response efforts, and driving systematic improvements through detailed post-incident analysis. Architect and implement enterprise-wide incident response strategies, including sophisticated playbooks and multi-tier escalation procedures aligned with business continuity requirements. Partner with engineering leadership to drive reliability improvements through advanced automated testing frameworks, fault-tolerant architectures, and comprehensive disaster recovery strategies. Provide technical mentorship and leadership to the broader engineering organization while contributing to the strategic"
Maven Robotics,mavenrobotics.ai,32,"Santa Clara, CA",https://www.linkedin.com/company/maven-robotics,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",2,Chris Grigas,Functional Eng/Infra Lead,https://www.linkedin.com/in/chris-grigas,yes,ML Infrastructure Engineer,https://boards.greenhouse.io/mavenrobotics/jobs/5275456008?gh_jid=5275456008,2026-06-22 21:26:05,"Company Overview Maven Robotics is building the world’s leading general-purpose robots and providing physical AI solutions for the most challenging industrial autonomy tasks. Operating in stealth, we are assembling a team of world-class innovators who think from first principles. Our mission is to achieve human-level task success rates in complex environments, even when faced with limited fine-tuning data or evolving robotic hardware. We value unwavering truth-seeking, humility, and relentless determination. Role Description We are looking to recruit an exceptional Infrastructure Engineer to own and build the backend systems that power machine learning at Maven Robotics. In this role, you will design and scale the core infrastructure used by our AI and robotics teams to manage data, run compute workloads, store artifacts, monitor systems, and support rapidly growing engineering workflows. You should be excited about distributed systems, backend services, data infrastructure, GPU compute, and high-reliability internal platforms. The ideal candidate has successfully built and operated similar systems before and can independently drive complex infrastructure projects from architecture through production operation. The underlying systems may be sophisticated, but the interfaces and workflows they expose should be reliable, intuitive, and easy for engineers to use. In this role you will: Own the architecture, implementation, reliability, and evolution of Maven's machine learning infrastructure. Build backend services and platforms for managing data, artifacts, jobs, logs, metadata, and compute resources across cloud and on-premise environments. Design scalable systems for workload orchestration, storage, observability, security, and infrastructure automation. Build intuitive internal tools and abstractions that make complex infrastructure easy for engineers to use. Lead technical and commercial discussions with cloud and ML compute providers, including capacity planning, performance, reliability, and cost. Qualifications Must-have: Significant experience designing, building, and operating production backend, distributed, or compute infrastructure. A track record of independently owning complex infrastructure projects from architecture through deployment and ongoing operation. Strong programming ability in Python, Go, Rust, C++, or a similar backend or systems language. Experience operating GPU compute infrastructure and orchestrating distributed workloads using Kubernetes, Ray, ZenML, or similar systems. Experience designing and operating storage systems, observability platforms, infrastructure-as-code, and secure access controls. Experience managing large-scale GPU fleets or hybrid cloud and on-premise compute environments. Experience building internal developer platforms, CLIs, SDKs, or other self-service infrastructure tools. Strong technical judgment, leadership, and communication skills, with the ability to drive decisions across teams and extern"
Venerable,venerable.com,455,"West Chester, Pennsylvania",https://www.linkedin.com/company/venerable,REVIEW,"""AVP, Chief IT Architect"" is a hybrid dev+infra signal: ""comprehensive strategies for Data Management and DevSecOps that encompass technical advancements, staffing r""","""AVP, Chief IT Architect"" is a hybrid dev+infra signal: ""comprehensive strategies for Data Management and DevSecOps that encompass technical advancements, staffing r""",4,Ashton Thorogood,Functional Eng/Infra Lead,https://www.linkedin.com/in/ashtonthorogood,yes,Lead DevOps System Engineers,https://venerable.wd5.myworkdayjobs.com/venerablecareers/job/PA-West-Chester---Dunwoody-Dr/Lead-DevOps-System-Engineers_REQ746,2026-06-23 0:00:00,"Title: Lead DevOps Systems Engineers Employer: VIAC Services Company (Venerable) Location: West Chester, PA Job Description: Architect, design, build and maintain enterprise IT platforms such as cloud infrastructure, DevOps, automation, CI/CD practices, monitoring, and identity infrastructure. Lead team members, propose new architectures/complex solutions, and define new processes, while also carrying out already established tasks, resolving incidents, and fulfilling requests. Ensure core operational processes are carried out, provide resolution of incidents, and fulfillment of requests. Act as an escalation point for level 1 resources and directs level 1 resources in the completion of tasks. Mentor other team members. Directly supervise the work of contractors and manage service providers. Work across the organization to define requirements and complete major projects/initiatives. Define new IT architectures and complex processes, automate and refine existing processes. Design new implementations and integrations between systems. Complete project tasks for new implementations, and plan complex upgrades, migrations, and remediations. Recommend new products and participate in the selection process for new solutions. Completes in-depth analysis of competing solutions. Create and update documentation, standard operating procedures, etc. Directly manage vendors and are frequently accountable for all infrastructure tasks in any given project. Telework permitted. Minimum Requirements: Bachelor’s degree or foreign equivalent in Computer Engineering, Information Technology, or a closely related field and 5 years of experience in any occupation as a Software Engineer, Tech Specialist, AWS Engineer, or closely related. Must have experience working with the following: Designing, planning and implementing infrastructure for new applications; Creating CI/CD pipeline using Jenkins and integrating with different external applications (SonarQ, CheckMarx); Jenkins to Optimizing Jenkins pipeline; Automating various AWS repeated work using Boto3, Lambda and CloudWatch; Automating various kinds of infrastructure work using Python, bash and Powershell; and Monitoring and Auditing Cloud AWS Cloud infrastructure using CloudWatch, Cloud Trail. #LI-DNI Venerable Values: Every position at Venerable has responsibility for living out the company's values as described here: We are Courageous - We think critically, ask ""why?"" and seek out creative solutions. We are Curious - We take calculated risks, learn from out failures, and challenge traditional ways of thinking. We are Connected - We are connected to each other, our customers and our community. Please note: The use of AI tools (such as ChatGPT or similar platforms) during interviews is not permitted without the prior approval of Venerable, as the use of such tools may interfere with company confidentiality, misrepresent a candidate’s skills and experience or otherwise conflict with Venerable’s hiring policies. If you ar"
Base Power Company,basepowertx.com,408,"Austin, TX",https://www.linkedin.com/company/basepowercompany,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",2,,,,no,"Infrastructure Engineer, Distributed Compute",https://jobs.ashbyhq.com/base-power/074434ca-1e44-4902-878b-d045e74b3e31,2026-06-23 0:00:00,"About Base Base is America’s next-generation power company. We’re rebuilding the foundation of modern civilization–electricity–by deploying a vast network of distributed batteries that is transforming today’s fragile, centralized grid into a resilient and abundant system. We are engineers, operators, and creatives solving some of the most complex, interdisciplinary challenges of our time. About the Role Base is deploying thousands of computing nodes across the country, coordinating them as a single distributed system. We're looking for an Infrastructure Engineer to design, build, and operate the horizontal infrastructure that coordinates, orchestrates, and manages this distributed compute network — enabling device communication, task scheduling, state synchronization, and fleet management at scale. You'll own the backend systems and APIs that allow thousands of devices to reliably communicate with central infrastructure, track their state, receive updates, and execute coordinated commands. This is systems-level work: designing for failure, scale, cost efficiency, and operational simplicity. You'll work closely with device engineers who need reliable communication channels, product teams who need fleet management primitives, operations teams who need visibility and control, and hardware engineers who understand physical constraints. Your infrastructure is the nervous system of this product — it must be fast, reliable, and elegant. What You'll Do Design and build the core orchestration and coordination layer that manages device fleet operations — task distribution, state synchronization, health monitoring — with >99.9% availability. Build backend systems that reliably handle device-to-cloud communication at scale, including message routing, acknowledgment, retry logic, and conflict resolution for concurrent updates. Develop APIs and services that allow product teams to query device state, push updates, and execute commands on thousands of devices simultaneously without bottlenecks or data consistency issues. Design architectures that scale horizontally from hundreds to millions of devices without re-architecture, while optimizing compute, storage, and network costs. Implement monitoring, alerting, and operational runbooks that allow the team to understand and troubleshoot distributed system behavior in production. Build reliable async communication patterns using message queues and event streaming, handling ordering guarantees, deduplication, and exactly-once semantics. Own the database and storage layer decisions that support both operational and analytical workloads — knowing when to use relational databases, NoSQL stores, or specialized systems. Partner with hardware and device teams to understand their needs and translate them into scalable, reliable backend services. Write infrastructure-as-code that is maintainable, tested, and reproducible, enabling safe and rapid iteration. What You'll Bring 5+ years building backend infrastructure or distr"
Revelation Pharma LLC,revelationpharma.com,100,"Kennesaw, Georgia",https://www.linkedin.com/company/revelationpharma,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",0,Benjamin Charity,Functional Eng/Infra Lead,https://www.linkedin.com/in/benjamincharity,yes,DevOps / AgentOps Engineer,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=553b3b64-bbe3-4ed0-b7c0-bdb1b328dc09&jobId=592494&ccId=9200659465994_2,2026-06-22 20:43:00,"Overview This is a hybrid infrastructure and AI operations role — part traditional DevOps, part emerging AgentOps discipline. The DevOps/AgentOps Engineer owns the CI/CD pipelines, infrastructure-as-code, observability stack, and deployment automation for both the application platform and the AI agent layer. They work shoulder-to-shoulder with the Full-Stack and Backend engineers, guide and learn from KMS's build process, and own the shared services infrastructure on the Revelation Pharma side. This is a high-autonomy role for someone who wants to define how a modern health-AI platform is built, deployed, and monitored from day one. Job Activities and Responsibilities: The responsibilities listed below are subject to change. * Design, build, and maintain CI/CD pipelines for application code, FHIR data layer, and AI agent deployments across dev/staging/production environments * Own infrastructure-as-code (Terraform or AWS CDK) for all AWS services including HealthLake, Bedrock, Clean Rooms, Lambda, Step Functions, S3, and IAM * Build and operate the observability stack — logging, metrics, tracing, and alerting — with particular attention to agent execution observability (token usage, latency, state transitions, error rates) * Implement and maintain HIPAA-compliant infrastructure patterns: encryption at rest and in transit, key rotation, audit log pipelines, BAA-covered service configurations * Work directly alongside KMS engineers during the build phase — reviewing their IaC, ensuring deployment standards are met, and absorbing system knowledge for long-term internal ownership * Manage shared services infrastructure on the Revelation Pharma side, including cross-environment networking, secrets management, and service mesh configuration * Automate agent deployment, versioning, rollback, and A/B testing workflows for Bedrock-based agents * Establish and enforce environment parity, secrets hygiene, and least-privilege IAM policies across all workstreams Required Technical Skills (Staff-Level Depth Expected) * AWS Infrastructure (Expert): Deep hands-on experience with IAM policy design, VPC networking, KMS encryption, CloudWatch/CloudTrail, and at least 3 of: HealthLake, Bedrock, Lambda, Step Functions, ECS/Fargate, S3, Clean Rooms. Must be comfortable designing multi-account AWS architectures with security boundaries. * Infrastructure-as-Code (Expert): Production experience with Terraform or AWS CDK. Must have built and maintained IaC for regulated environments — drift detection, state management, module composition, and policy-as-code (OPA/Sentinel or equivalent). * CI/CD & Deployment (Expert): End-to-end pipeline design (GitHub Actions, CodePipeline, or equivalent). Blue/green and canary deployment patterns. Container orchestration (ECS Fargate preferred). Artifact management and promotion workflows across environments. * Observability & Monitoring (Strong): Production experience building observability stacks — structured lo"
Onebrief,onebrief.com,382,"Honolulu, Hawaii",https://www.linkedin.com/company/onebrief,REVIEW,"""System Engineer"" is an adjacent/unnamed infra signal: ""System Engineer Systems Engineer at Onebrief""","""System Engineer"" is an adjacent/unnamed infra signal: ""System Engineer Systems Engineer at Onebrief""",1,,,,no,"Senior Site Reliability Engineer (Arlington, VA)",https://jobs.ashbyhq.com/onebrief/0bfce3d9-aa36-4848-9296-f051b6046dde,2026-06-23 0:00:00,"Consequential Work. Dedicated People. About Onebrief Onebrief builds collaboration and AI-powered workflow software for military planning and operational coordination. Today, many critical planning workflows still rely on fragmented systems, static documents, and disconnected tools that make collaboration and decision-making unnecessarily difficult. Onebrief brings modern software, AI, and real-time collaboration into those environments, helping teams operate with greater clarity, coordination, and adaptability in situations where decisions carry real-world consequences. We are a distributed team of builders from military, operational, and technology backgrounds who care deeply about improving how important work gets done. Some team members work remotely, while others work directly alongside customers in operational environments around the world. Founded in 2019, Onebrief is backed by leading investors including General Catalyst, Battery Ventures, Insight Partners, Sapphire Ventures, and Human Capital. Valued at more than $2 billion, we continue to invest in product innovation, AI capabilities, and team growth. Security Clearance, Location, and Onsite Notice: This role requires regularly working on-site at customer locations in Arlington, VA. If you are not currently within commuting distance, you must be willing to relocate (note that Onebrief will provide relocation assistance). Active Top Secret Clearance required with the ability to obtain SCI eligibility. About The Role We are hiring a Site Reliability Engineer to join our Infrastructure & Security team. You’ll work closely with fellow SREs, security, and customer success. You will be the first line of support for our mission critical deployments, and responsible for ensuring best-in-class service quality and issue resolution. You will work in both on-premise DoD environments and AWS cloud environments. Your lessons from the field will shape how our team works, from policy to implementation. In addition to working at the customer, you will contribute directly to solutions that increase stability, performance, and security of our deployments, and improve the overall experience of deploying and managing Onebrief on premise. About You You care deeply about reliability and treat it as a core feature of any application or platform, with a bias toward “reliability over novelty.” You think about infrastructure and operability as products to be automated, well-documented, and continuously improved, and you aim to leave systems easier to operate than you found them. You are equally comfortable leading a post-incident review, or diving into a kubectl shell to triage a complex production issue. You don't just fix problems; you translate constraints and failure modes into clear, automated guardrails and scalable, resilient architecture. For you, robust monitoring, actionable alerting, and insightful runbooks are core parts of the engineering process, not afterthoughts. You mentor others, fostering a"
Cabaletta Bio Inc.,cabalettabio.com,191,"Philadelphia, Pennsylvania",https://www.linkedin.com/company/cabalettabio,PASS,,"No DevOps/Infrastructure/Platform/SRE/Cloud signal found in title, headline, or job description (free regex scan).",0,,,,no,Senior Infrastructure Engineer,https://app.trinethire.com/companies/22943-cabaletta-bio-inc/jobs/121824-senior-infrastructure-engineer,2026-06-22 17:46:24,"POSITION: SENIOR INFRASTRUCTURE ENGINEER Philadelphia, PA (Hybrid) Cabaletta Bio (Nasdaq: CABA) is a clinical-stage biotechnology company focused on developing and launching the first curative targeted cell therapies designed specifically for patients with autoimmune diseases. The CABA™ platform encompasses two complementary strategies which aim to advance the discovery and development of engineered T cell therapies with the potential to become deep and durable, perhaps curative, treatments for a broad range of autoimmune diseases. The lead CARTA (Chimeric Antigen Receptor T cells for Autoimmunity) strategy is prioritizing the development of rese-cel, a 4-1BB-containing fully human CD19-CAR T cell investigational therapy. Rese-cel is currently being evaluated in the RESET™ (REstoring SElf-Tolerance) clinical development program spanning multiple therapeutic areas, including rheumatology, neurology and dermatology. The company recently presented final phase 1/2 data for rese-cel in myositis and expects to initiate the pivotal myositis trial this year. Cabaletta Bio’s headquarters and labs are based in Philadelphia, PA. For more information, please visit www.cabalettabio.com and connect with us on LinkedIn. At Cabaletta, we are driven by the shared mission of developing cures, where a patient’s own cells are used to fight disease. We are building a culture grounded in the knowledge that successful cures can be achieved for patients if every member of the Cabaletta is focused on the success of the team. To nurture this, we make an active commitment to the well-being and continuous growth of each employee who joins the team. In this way, we are not only working to improve the lives of patients, but of everyone involved. And we’re proud that for 3 years in a row, we’ve been nationally recognized by Great Place to Work and Fortune as one of the Top 10 Best Small/Medium Workplaces in Biopharma! ---------------------------------------- SENIOR INFRASTRUCTURE ENGINEER POSITION SUMMARY The Senior Infrastructure Engineer is responsible for the administration, maintenance, security, and continuous improvement of Cabaletta Bio’s infrastructure and cloud platforms. This role provides hands-on technical support for AWS, Windows and Linux server environments, networking, firewalls, cybersecurity controls, backup and disaster recovery capabilities, and emerging platform technologies. The ideal candidate combines strong technical skills with excellent communication and customer service abilities, partnering effectively with scientific and business stakeholders, managed service providers, cloud partners, and internal IT resources within a regulated biotechnology environment. This position will help mature Cabaletta’s infrastructure capabilities while supporting business growth, operational readiness, and future technology initiatives. ---------------------------------------- ESSENTIAL DUTIES AND RESPONSIBILITIES INFRASTRUCTURE ADMINISTRATION * Ad"
Favorited,favorited.com,60,"Santa Monica, CA",https://www.linkedin.com/company/favapp,REVIEW,"""Software Engineer - Web & Backend"" is an adjacent/unnamed infra signal: ""(WebGL2, rendering, encoding, animations)- Audio Systems Engineering (custom mixing engine, digital signal processing)""; ""Senior Qa Engineer"" is an adjacent/unnamed infra signal: ""Senior Qa Engineer QA Lead | Release Engineer | Process Maintainer""; ""Senior Qa Engineer"" is an adjacent/unnamed infra signal: ""Senior Qa Engineer QA Lead | Release Engineer | Process Maintainer""","""Software Engineer - Web & Backend"" is an adjacent/unnamed infra signal: ""(WebGL2, rendering, encoding, animations)- Audio Systems Engineering (custom mixing engine, digital signal processing)""; ""Senior Qa Engineer"" is an adjacent/unnamed infra signal: ""Senior Qa Engineer QA Lead | Release Engineer | Process Maintainer""; ""Senior Qa Engineer"" is an adjacent/unnamed infra signal: ""Senior Qa Engineer QA Lead | Release Engineer | Process Maintainer""",7,,,,no,Member of Technical Staff - Infrastructure,https://jobs.ashbyhq.com/favorited/87adec2b-9448-45c6-864f-31ed1bbb349d,2026-06-22 0:00:00,"About favorited At favorited, we believe that digital communities should be more than just spaces to watch content. Our platform is a place to connect, engage, and play, and empowers creators by enhancing audience participation and fostering deeper connections. Our work culture is intense and isn’t for everyone. But, if you’re a self-starter eager to shape the future of social interaction with a team that holds itself to the highest standards, this is the place for you. We value open, yet respectful communication and real-time feedback to help each other grow quickly. If you’re passionate about gaming and have a knack for gamifying everyday life, you’ll thrive in our fast-moving, collaborative environment. About the Role We are looking for a Member of Technical Staff, Infrastructure to help ensure the reliability, scalability, and performance of the infrastructure that powers favorited’s real-time platform. You will play a key role in building and maintaining systems that support high-traffic applications used by a rapidly growing global audience. This role is ideal for someone who enjoys solving complex infrastructure challenges, improving system reliability, and building automation that allows engineering teams to move quickly and confidently. Responsibilities Design, implement, and maintain highly reliable and scalable infrastructure supporting real-time applications. Build automation and tooling to improve system reliability, deployment processes, and operational efficiency. Develop and maintain monitoring, logging, and alerting systems to ensure high availability and rapid incident response. Partner closely with engineering teams to improve service reliability, performance, and observability. Support incident response, root cause analysis, and postmortems, ensuring learnings are incorporated into system improvements. Optimize infrastructure for performance, cost efficiency, and scalability. Manage and scale containerized environments using Docker, Kubernetes, and related orchestration technologies. Help define and enforce reliability standards, SLOs, and operational best practices across engineering teams. Continuously evaluate new infrastructure tools and practices to improve system resilience and developer productivity. What We’re Looking For 6+ years of experience in Site Reliability Engineering, DevOps, or Infrastructure Engineering roles. Experience managing infrastructure for large-scale systems supporting millions of users. Strong expertise with cloud infrastructure, ideally Google Cloud Platform (GCP). Hands-on experience with Kubernetes, container orchestration, and distributed systems. Experience implementing monitoring and observability systems (Dash0, Prometheus, Grafana, Datadog, or similar). Strong scripting or programming experience in languages such as Python, Go, or TypeScript. Deep understanding of reliability engineering practices including SLOs, SLIs, and incident management. Strong collaboration skills and ability to wor"
